sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-03-01T09:27:53.566+0100,21.1662001,42.6566356,26.81
2017-03-01T09:27:54.741+0100,21.16629243,42.65817806,26.0
2017-03-01T09:27:55.913+0100,21.16627643,42.65815513,24.21
2017-03-01T09:27:57.055+0100,21.16626464,42.65817919,25.47
2017-03-01T09:27:58.249+0100,21.16624178,42.6581881,24.71
2017-03-01T09:27:59.410+0100,21.16621794,42.65820501,23.96
2017-03-01T09:28:00.566+0100,21.16621671,42.65820468,23.48
2017-03-01T09:28:01.736+0100,21.16623667,42.65818422,22.9
2017-03-01T09:28:02.924+0100,21.16621742,42.65820093,22.33
2017-03-01T09:28:04.053+0100,21.16620404,42.65820557,21.99
2017-03-01T09:28:05.236+0100,21.16619299,42.65823234,20.51
2017-03-01T09:28:06.390+0100,21.16617526,42.65823728,19.23
2017-03-01T09:28:07.624+0100,21.16616376,42.65824487,19.04
2017-03-01T09:28:08.734+0100,21.16616343,42.65825159,19.23
2017-03-01T09:28:09.921+0100,21.16615636,42.65827482,19.13
2017-03-01T09:28:11.044+0100,21.1661556,42.65827626,18.76
2017-03-01T09:28:12.292+0100,21.16617291,42.65830873,19.51
2017-03-01T09:28:13.392+0100,21.16617184,42.65833502,19.23
2017-03-01T09:28:14.569+0100,21.16615639,42.65832966,20.1
2017-03-01T09:28:15.730+0100,21.16613957,42.65832619,19.71
2017-03-01T09:28:16.870+0100,21.16612843,42.65831878,19.61
2017-03-01T09:28:18.070+0100,21.16610427,42.65832597,18.57
2017-03-01T09:28:19.282+0100,21.16608041,42.65830862,18.39
2017-03-01T09:28:20.425+0100,21.16606613,42.65829124,17.76
2017-03-01T09:28:21.583+0100,21.16604117,42.65830779,16.81
2017-03-01T09:28:22.735+0100,21.16603242,42.6583308,16.48
2017-03-01T09:28:23.953+0100,21.16601174,42.65834774,16.07
2017-03-01T09:28:25.064+0100,21.16597849,42.65836069,15.26
2017-03-01T09:28:26.216+0100,21.16595381,42.65834883,15.18
2017-03-01T09:28:27.370+0100,21.1659351,42.65835273,16.07
2017-03-01T09:28:28.573+0100,21.16592998,42.65835216,16.73
2017-03-01T09:28:29.750+0100,21.1659061,42.65834097,15.98
2017-03-01T09:28:30.907+0100,21.16588759,42.65833383,15.82
2017-03-01T09:28:32.044+0100,21.16586676,42.65833149,15.66
2017-03-01T09:28:33.266+0100,21.16585018,42.65831547,15.26
2017-03-01T09:28:34.380+0100,21.16584613,42.65830237,15.42
2017-03-01T09:28:35.556+0100,21.16582993,42.65829932,15.5
2017-03-01T09:28:36.735+0100,21.16577907,42.65830413,15.58
2017-03-01T09:28:37.890+0100,21.16575633,42.65831051,16.9
2017-03-01T09:28:39.039+0100,21.16575298,42.65831646,18.03
2017-03-01T09:28:40.219+0100,21.16574994,42.65831811,18.66
2017-03-01T09:28:41.402+0100,21.16575082,42.65831026,19.04
2017-03-01T09:28:42.578+0100,21.16570978,42.65831215,19.61
2017-03-01T09:28:43.702+0100,21.16569534,42.65831222,19.71
2017-03-01T09:28:44.942+0100,21.16567563,42.65832482,19.81
2017-03-01T09:28:46.057+0100,21.16565846,42.65832473,19.04
2017-03-01T09:28:47.219+0100,21.16564649,42.65833152,19.32
2017-03-01T09:28:48.404+0100,21.16563038,42.65833313,19.71
2017-03-01T09:28:49.568+0100,21.165618,42.6583291,19.32
2017-03-01T09:28:50.692+0100,21.16559555,42.65832935,19.61
2017-03-01T09:28:51.890+0100,21.16556537,42.65833023,20.71
2017-03-01T09:28:53.042+0100,21.16554572,42.65832925,20.82
2017-03-01T09:28:54.227+0100,21.16554947,42.65833153,20.2
2017-03-01T09:28:55.353+0100,21.16552851,42.65833118,20.01
2017-03-01T09:28:56.551+0100,21.16550782,42.6583331,19.61
2017-03-01T09:28:57.694+0100,21.1654797,42.65833198,20.2
