sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-03-03T15:38:41.993+0100,21.16042757,42.66369582,31.31
2017-03-03T15:38:43.140+0100,21.16039546,42.66361863,30.99
2017-03-03T15:38:44.284+0100,21.16039135,42.66352761,31.31
2017-03-03T15:38:45.500+0100,21.16037122,42.6634464,32.64
2017-03-03T15:38:46.704+0100,21.16036728,42.66337417,32.64
2017-03-03T15:38:47.822+0100,21.16036141,42.66333001,35.47
2017-03-03T15:38:49.006+0100,21.16032555,42.66323835,39.92
2017-03-03T15:38:50.169+0100,21.16030432,42.66320159,38.32
2017-03-03T15:38:51.284+0100,21.16030125,42.66318494,39.11
2017-03-03T15:38:52.553+0100,21.16028832,42.66315632,39.11
2017-03-03T15:38:53.656+0100,21.16027522,42.66315071,37.73
2017-03-03T15:38:54.798+0100,21.16027219,42.66312306,37.54
2017-03-03T15:38:55.991+0100,21.16023897,42.66305294,37.34
2017-03-03T15:38:57.167+0100,21.16023315,42.66304249,37.54
2017-03-03T15:38:58.381+0100,21.16021055,42.66300941,39.72
2017-03-03T15:38:59.542+0100,21.16019117,42.66297032,38.32
2017-03-03T15:39:00.617+0100,21.16017344,42.66294894,36.96
2017-03-03T15:39:01.857+0100,21.1601719,42.6629318,35.83
2017-03-03T15:39:02.991+0100,21.16016706,42.66291567,36.21
2017-03-03T15:39:04.225+0100,21.16016375,42.66291893,38.91
2017-03-03T15:39:05.307+0100,21.16016343,42.66291027,39.72
2017-03-03T15:39:06.474+0100,21.16016377,42.66291162,39.31
2017-03-03T15:39:07.659+0100,21.16016258,42.66290239,39.51
2017-03-03T15:39:08.814+0100,21.16016143,42.66289398,38.51
2017-03-03T15:39:10.080+0100,21.16014889,42.66288457,38.51
2017-03-03T15:39:11.196+0100,21.1601277,42.66287072,36.77
2017-03-03T15:39:12.330+0100,21.16012369,42.66285631,36.96
2017-03-03T15:39:13.502+0100,21.16011742,42.66283503,35.83
2017-03-03T15:39:14.623+0100,21.16009761,42.66281753,36.21
2017-03-03T15:39:15.879+0100,21.16009543,42.66279375,36.02
2017-03-03T15:39:16.929+0100,21.16008201,42.66277749,36.96
2017-03-03T15:39:18.163+0100,21.16007773,42.66277428,34.56
2017-03-03T15:39:19.317+0100,21.16007867,42.6627776,35.1
2017-03-03T15:39:20.472+0100,21.16008359,42.66277489,35.47
2017-03-03T15:39:21.645+0100,21.16007215,42.66278218,33.67
2017-03-03T15:39:22.822+0100,21.16007439,42.66278007,32.14
2017-03-03T15:39:23.964+0100,21.16007163,42.66278091,30.51
2017-03-03T15:39:25.151+0100,21.16007019,42.66278324,32.64
2017-03-03T15:39:26.360+0100,21.16006869,42.66278214,31.15
2017-03-03T15:39:27.478+0100,21.16006056,42.66277896,32.81
2017-03-03T15:39:28.638+0100,21.1600536,42.66276793,36.21
2017-03-03T15:39:29.831+0100,21.16004567,42.66275532,37.54
2017-03-03T15:39:30.948+0100,21.16001691,42.66274227,36.21
2017-03-03T15:39:32.133+0100,21.15999971,42.66272264,36.02
2017-03-03T15:39:33.351+0100,21.159999,42.66270621,37.54
2017-03-03T15:39:34.514+0100,21.16000262,42.66268696,35.28
2017-03-03T15:39:35.643+0100,21.1599876,42.66266119,36.02
2017-03-03T15:39:36.820+0100,21.1599758,42.66264904,34.38
2017-03-03T15:39:37.980+0100,21.15996571,42.66259378,35.1
2017-03-03T15:39:39.188+0100,21.15996685,42.66256046,33.85
2017-03-03T15:39:40.288+0100,21.15996075,42.6625359,34.2
2017-03-03T15:39:41.523+0100,21.15994327,42.66251394,32.64
2017-03-03T15:39:42.659+0100,21.15995078,42.66248999,33.15
2017-03-03T15:39:43.867+0100,21.15994867,42.66247996,31.64
2017-03-03T15:39:44.984+0100,21.15992849,42.66245859,31.15
2017-03-03T15:39:46.160+0100,21.15992233,42.6624294,30.99
