sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961051B5,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-03-03T09:20:44.404+0100,21.16472167,42.65909206,29.43
2017-03-03T09:20:45.562+0100,21.16472371,42.65909203,29.12
2017-03-03T09:20:46.788+0100,21.16472217,42.6590896,30.51
2017-03-03T09:20:47.926+0100,21.16471759,42.65908859,30.2
2017-03-03T09:20:49.075+0100,21.1646846,42.65909261,29.58
2017-03-03T09:20:50.251+0100,21.16466601,42.6590949,29.12
2017-03-03T09:20:51.401+0100,21.16465016,42.65909418,30.04
2017-03-03T09:20:52.547+0100,21.16464554,42.65909544,30.67
2017-03-03T09:20:53.742+0100,21.16462759,42.65909827,28.67
2017-03-03T09:20:54.909+0100,21.16461234,42.65910004,26.81
2017-03-03T09:20:56.091+0100,21.16458125,42.65909675,28.97
2017-03-03T09:20:57.261+0100,21.16456376,42.65909256,31.81
2017-03-03T09:20:58.439+0100,21.16455163,42.65909078,31.48
2017-03-03T09:20:59.551+0100,21.16453837,42.65908708,30.67
2017-03-03T09:21:00.738+0100,21.16452523,42.65908666,28.09
2017-03-03T09:21:01.924+0100,21.1645144,42.65908279,28.23
2017-03-03T09:21:03.085+0100,21.16449004,42.65908308,26.54
2017-03-03T09:21:04.211+0100,21.16447056,42.65908653,25.87
2017-03-03T09:21:05.395+0100,21.16444888,42.65908309,25.09
2017-03-03T09:21:06.549+0100,21.16444125,42.65907661,23.72
2017-03-03T09:21:07.757+0100,21.16443282,42.65907281,23.13
2017-03-03T09:21:08.909+0100,21.16442148,42.65907837,22.9
2017-03-03T09:21:10.080+0100,21.16438247,42.65908338,23.36
2017-03-03T09:21:11.244+0100,21.16436613,42.65908664,21.56
2017-03-03T09:21:12.440+0100,21.16434773,42.65908897,21.67
2017-03-03T09:21:13.576+0100,21.16432803,42.65908899,21.56
2017-03-03T09:21:14.775+0100,21.16430168,42.65908381,21.13
2017-03-03T09:21:15.914+0100,21.16428677,42.65908256,21.24
2017-03-03T09:21:17.069+0100,21.16425462,42.65907518,20.71
2017-03-03T09:21:18.223+0100,21.16424001,42.65907373,19.23
2017-03-03T09:21:19.393+0100,21.16421659,42.65907132,19.32
2017-03-03T09:21:20.565+0100,21.16419342,42.65907324,20.31
2017-03-03T09:21:21.746+0100,21.16417479,42.65907601,20.61
2017-03-03T09:21:22.885+0100,21.1641573,42.65907575,20.82
2017-03-03T09:21:24.092+0100,21.16412989,42.6590721,20.51
2017-03-03T09:21:25.273+0100,21.164113,42.65906948,19.81
2017-03-03T09:21:26.396+0100,21.1640988,42.65906325,19.32
2017-03-03T09:21:27.575+0100,21.16407906,42.65906204,19.51
2017-03-03T09:21:28.736+0100,21.16406166,42.65905893,19.81
2017-03-03T09:21:29.891+0100,21.16404776,42.65905492,19.81
2017-03-03T09:21:31.069+0100,21.1640159,42.65905111,19.51
2017-03-03T09:21:32.226+0100,21.16399628,42.65904665,19.61
2017-03-03T09:21:33.426+0100,21.16397782,42.65903975,19.32
2017-03-03T09:21:34.584+0100,21.16395454,42.65903647,18.85
2017-03-03T09:21:35.716+0100,21.16392914,42.65903367,19.61
2017-03-03T09:21:36.886+0100,21.16391065,42.65902561,20.1
2017-03-03T09:21:38.114+0100,21.16387353,42.65901414,20.41
2017-03-03T09:21:39.244+0100,21.16385607,42.65901223,20.82
2017-03-03T09:21:40.434+0100,21.16383957,42.65901065,20.92
2017-03-03T09:21:41.579+0100,21.16381684,42.65900391,20.82
2017-03-03T09:21:42.735+0100,21.16379812,42.65899949,20.1
2017-03-03T09:21:43.933+0100,21.16378332,42.65899436,20.01
2017-03-03T09:21:45.039+0100,21.16374515,42.65898312,18.94
2017-03-03T09:21:46.281+0100,21.16372409,42.65897591,18.85
2017-03-03T09:21:47.380+0100,21.16370446,42.65897191,19.04
2017-03-03T09:21:48.572+0100,21.16368223,42.65896673,19.13
