------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1700 v 2.08
Date/Time: 02-03-17 10:07
------------------------------
Particles per cubic foot / 100
------------------------------
Date/Time, Small, Large
02-01-17 10:26, 10178, 539
02-01-17 10:27, 14602, 756
02-01-17 10:28, 13623, 750
02-01-17 10:29, 12287, 709
02-01-17 10:30, 11324, 697
02-01-17 10:31, 10364, 701
02-01-17 10:32, 9778, 740
02-01-17 10:33, 9052, 737
02-01-17 10:34, 8859, 792
02-01-17 10:35, 9488, 897
02-01-17 10:36, 9024, 816
02-01-17 10:37, 8743, 768
02-01-17 10:38, 7980, 591
02-01-17 10:39, 6982, 428
02-01-17 10:40, 7159, 521
02-01-17 10:41, 7269, 506
02-01-17 10:42, 7449, 566
02-01-17 10:43, 7442, 555
02-01-17 10:44, 7140, 561
02-01-17 10:45, 7259, 560
02-01-17 10:46, 7263, 580
02-01-17 10:47, 6877, 514
02-01-17 10:48, 6933, 554
02-01-17 10:49, 6555, 532
02-01-17 10:50, 6583, 534
02-01-17 10:51, 6469, 535
02-01-17 10:52, 6205, 488
02-01-17 10:53, 6038, 520
02-01-17 10:54, 5859, 489
02-01-17 10:55, 5957, 506
02-01-17 10:56, 5887, 487
02-01-17 10:57, 5753, 481
02-01-17 10:58, 5820, 511
02-01-17 10:59, 5672, 500
02-01-17 11:00, 5706, 503
02-01-17 11:01, 5594, 475
02-01-17 11:02, 5644, 516
02-01-17 11:03, 5506, 471
02-01-17 11:04, 5712, 505
02-01-17 11:05, 5510, 518
02-01-17 11:06, 5523, 499
02-01-17 11:07, 5485, 499
02-01-17 11:08, 5382, 488
02-01-17 11:09, 5414, 519
02-01-17 11:10, 5353, 471
02-01-17 11:11, 5384, 471
02-01-17 11:12, 5328, 500
02-01-17 11:13, 5294, 472
02-01-17 11:14, 5255, 501
02-01-17 11:15, 5283, 491
02-01-17 11:16, 5577, 579
02-01-17 11:17, 5569, 587
02-01-17 11:18, 5558, 555
02-01-17 11:19, 5514, 553
02-01-17 11:20, 5615, 565
02-01-17 11:21, 5588, 547
02-01-17 11:22, 5706, 528
02-01-17 11:23, 5334, 430
02-01-17 11:24, 5056, 373
02-01-17 11:25, 4805, 325
02-01-17 11:26, 4833, 298
02-01-17 11:27, 5201, 356
02-01-17 11:28, 5416, 367
02-01-17 11:29, 5722, 435
02-01-17 11:30, 5902, 445
02-01-17 11:31, 5804, 434
02-01-17 11:32, 5559, 414
02-01-17 11:33, 5642, 403
02-01-17 11:34, 5616, 427
02-01-17 11:35, 5696, 432
02-01-17 11:36, 5638, 426
02-01-17 11:37, 5696, 435
02-01-17 11:38, 5845, 462
02-01-17 11:39, 6338, 562
02-01-17 11:40, 6465, 604
02-01-17 11:41, 6751, 629
02-01-17 11:42, 7198, 704
02-01-17 11:43, 7301, 721
02-01-17 11:44, 7304, 747
02-01-17 11:45, 6917, 633
02-01-17 11:46, 6769, 598
02-01-17 11:47, 6142, 425
02-01-17 11:48, 5552, 392
02-01-17 11:49, 5791, 399
02-01-17 11:50, 6527, 554
02-01-17 11:51, 6599, 537
02-01-17 11:52, 6060, 463
02-01-17 11:53, 6021, 477
02-01-17 11:54, 5812, 464
02-01-17 11:55, 6005, 492
02-01-17 11:56, 5801, 454
02-01-17 11:57, 5649, 459
02-01-17 11:58, 5462, 434
02-01-17 11:59, 5269, 387
02-01-17 12:00, 5121, 404
02-01-17 12:01, 5022, 392
02-01-17 12:02, 5197, 397
02-01-17 12:03, 5106, 403
02-01-17 12:04, 5190, 386
02-01-17 12:05, 5160, 413
02-01-17 12:06, 5006, 405
02-01-17 12:07, 5044, 410
02-01-17 12:08, 4951, 397
02-01-17 12:09, 4739, 378
02-01-17 12:10, 4810, 411
02-01-17 12:11, 4884, 427
02-01-17 12:12, 4742, 414
02-01-17 12:13, 4768, 410
