------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1700 v 2.08
Date/Time: 02-07-17 10:40
------------------------------
Particles per cubic foot / 100
------------------------------
Date/Time, Small, Large
02-06-17 10:37, 4679, 1113
02-06-17 10:38, 4600, 1059
02-06-17 10:39, 4641, 1040
02-06-17 10:40, 4529, 1002
02-06-17 10:41, 4480, 1005
02-06-17 10:42, 4356, 979
02-06-17 10:43, 4327, 972
02-06-17 10:44, 4220, 927
02-06-17 10:45, 4176, 912
02-06-17 10:46, 4098, 880
02-06-17 10:47, 4061, 893
02-06-17 10:48, 4043, 887
02-06-17 10:49, 3927, 841
02-06-17 10:50, 3896, 835
02-06-17 10:51, 3748, 815
02-06-17 10:52, 3710, 805
02-06-17 10:53, 3484, 751
02-06-17 10:54, 3517, 724
02-06-17 10:55, 3299, 648
02-06-17 10:56, 2830, 562
02-06-17 10:57, 2875, 574
02-06-17 10:58, 2911, 561
02-06-17 10:59, 3082, 627
02-06-17 11:00, 2934, 611
02-06-17 11:01, 2670, 522
02-06-17 11:02, 2955, 619
02-06-17 11:03, 3008, 648
02-06-17 11:04, 2847, 617
02-06-17 11:05, 2855, 612
02-06-17 11:06, 2842, 615
02-06-17 11:07, 3006, 666
02-06-17 11:08, 2759, 586
02-06-17 11:09, 2807, 623
02-06-17 11:10, 2976, 671
02-06-17 11:11, 2788, 629
02-06-17 11:12, 3103, 752
02-06-17 11:13, 2594, 581
02-06-17 11:14, 2179, 427
02-06-17 11:15, 1896, 337
02-06-17 11:16, 1802, 314
02-06-17 11:17, 1691, 267
02-06-17 11:18, 1673, 268
02-06-17 11:19, 1744, 286
02-06-17 11:20, 1658, 234
02-06-17 11:21, 1706, 257
02-06-17 11:22, 1835, 290
02-06-17 11:23, 1624, 218
02-06-17 11:24, 1599, 221
02-06-17 11:25, 1604, 206
02-06-17 11:26, 1585, 207
02-06-17 11:27, 1648, 242
02-06-17 11:28, 1606, 248
02-06-17 11:29, 1621, 234
02-06-17 11:30, 1492, 199
02-06-17 11:31, 1468, 177
02-06-17 11:32, 1646, 233
02-06-17 11:33, 1454, 150
02-06-17 11:34, 1459, 132
02-06-17 11:35, 1550, 175
02-06-17 11:36, 1489, 141
02-06-17 11:37, 1447, 138
02-06-17 11:38, 1591, 161
02-06-17 11:39, 1697, 243
02-06-17 11:40, 1857, 302
02-06-17 11:41, 1906, 324
02-06-17 11:42, 1929, 340
02-06-17 11:43, 2072, 406
02-06-17 11:44, 2180, 435
02-06-17 11:45, 1995, 383
02-06-17 11:46, 1789, 304
02-06-17 11:47, 1827, 303
02-06-17 11:48, 1719, 266
02-06-17 11:49, 1693, 261
02-06-17 11:50, 1730, 265
02-06-17 11:51, 1752, 285
02-06-17 11:52, 1651, 250
02-06-17 11:53, 1705, 226
02-06-17 11:54, 1670, 243
02-06-17 11:55, 1729, 276
02-06-17 11:56, 1738, 288
02-06-17 11:57, 1705, 263
02-06-17 11:58, 1718, 248
02-06-17 11:59, 1758, 257
02-06-17 12:00, 1828, 292
02-06-17 12:01, 1772, 288
02-06-17 12:02, 1844, 311
02-06-17 12:03, 1889, 360
02-06-17 12:04, 1852, 341
02-06-17 12:05, 1774, 299
02-06-17 12:06, 1766, 317
02-06-17 12:07, 1848, 320
02-06-17 12:08, 1897, 330
02-06-17 12:09, 1835, 349
02-06-17 12:10, 1893, 366
02-06-17 12:11, 1794, 312
02-06-17 12:12, 1718, 285
02-06-17 12:13, 1874, 318
02-06-17 12:14, 1831, 309
02-06-17 12:15, 1835, 331
02-06-17 12:16, 1783, 329
02-06-17 12:17, 1903, 360
02-06-17 12:18, 1794, 292
02-06-17 12:19, 1803, 313
02-06-17 12:20, 1793, 332
02-06-17 12:21, 2496, 637
02-06-17 12:22, 2853, 779
02-06-17 12:23, 2522, 639
02-06-17 12:24, 2311, 539
02-06-17 12:25, 2225, 500
02-06-17 12:26, 2207, 498
02-06-17 12:27, 2092, 467
02-06-17 12:28, 2084, 418
02-06-17 12:29, 2083, 436
02-06-17 12:30, 1966, 388
02-06-17 12:31, 1886, 343
02-06-17 12:32, 1882, 352
02-06-17 12:33, 1834, 331
02-06-17 12:34, 1792, 311
02-06-17 12:35, 1729, 315
02-06-17 12:36, 1725, 291
02-06-17 12:37, 1656, 275
02-06-17 12:38, 1620, 244
02-06-17 12:39, 1629, 249
02-06-17 12:40, 1585, 237
02-06-17 12:41, 1597, 244
02-06-17 12:42, 1659, 259
02-06-17 12:43, 1599, 240
02-06-17 12:44, 1552, 229
02-06-17 12:45, 1551, 226
02-06-17 12:46, 1508, 222
02-06-17 12:47, 1490, 201
02-06-17 12:48, 1542, 203
02-06-17 12:49, 1561, 229
02-06-17 12:50, 1577, 215
02-06-17 12:51, 1561, 212
02-06-17 12:52, 1564, 203
02-06-17 12:53, 1566, 189
02-06-17 12:54, 1537, 186
02-06-17 12:55, 1485, 190
02-06-17 12:56, 1523, 198
02-06-17 12:57, 1484, 185
02-06-17 12:58, 1427, 183
02-06-17 12:59, 1504, 192
02-06-17 13:00, 1456, 183
02-06-17 13:01, 1484, 200
02-06-17 13:02, 1566, 236
02-06-17 13:03, 1718, 291
02-06-17 13:04, 1761, 326
02-06-17 13:05, 1923, 421
02-06-17 13:06, 1924, 408
6405, 966
