------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1100
Date/Time: 02-21-17 09:46
------------------------------
Particles per cubic foot / 100
------------------------------
Small, Large
02-20-17 10:55, 11806, 167
02-20-17 10:56, 14203, 187
02-20-17 10:57, 13105, 185
02-20-17 10:58, 12874, 168
02-20-17 10:59, 12765, 164
02-20-17 11:00, 13855, 196
02-20-17 11:17, 17668, 635
02-20-17 11:18, 18058, 605
02-20-17 11:19, 16562, 569
02-20-17 11:20, 15190, 540
02-20-17 11:21, 14193, 564
02-20-17 11:22, 13330, 528
02-20-17 11:23, 12508, 492
02-20-17 11:24, 11956, 467
02-20-17 11:25, 11335, 484
02-20-17 11:26, 10806, 443
02-20-17 11:27, 10248, 443
02-20-17 11:28, 9994, 441
02-20-17 11:29, 9568, 442
02-20-17 11:30, 9347, 454
02-20-17 11:31, 9320, 477
02-20-17 11:32, 8824, 481
02-20-17 11:33, 8604, 448
02-20-17 11:34, 8337, 451
02-20-17 11:35, 8270, 483
02-20-17 11:36, 8122, 498
02-20-17 11:37, 8030, 501
02-20-17 11:38, 7860, 456
02-20-17 11:39, 7674, 464
02-20-17 11:40, 7965, 532
02-20-17 11:41, 7688, 479
02-20-17 11:42, 7340, 400
02-20-17 11:43, 7303, 372
02-20-17 11:44, 7419, 424
02-20-17 11:45, 7890, 521
02-20-17 11:46, 7737, 506
02-20-17 11:47, 7938, 560
02-20-17 11:48, 7651, 561
02-20-17 11:49, 7631, 536
02-20-17 11:50, 7540, 553
02-20-17 11:51, 7418, 548
02-20-17 11:52, 6972, 524
02-20-17 11:53, 7440, 558
02-20-17 11:54, 7155, 553
02-20-17 11:55, 6977, 556
02-20-17 11:56, 7152, 570
02-20-17 11:57, 6903, 539
02-20-17 11:58, 6987, 560
02-20-17 11:59, 6849, 584
02-20-17 12:00, 6506, 528
02-20-17 12:01, 6564, 524
02-20-17 12:02, 6664, 532
02-20-17 12:03, 6566, 529
02-20-17 12:04, 6331, 520
02-20-17 12:05, 6161, 484
02-20-17 12:06, 6246, 516
02-20-17 12:07, 6151, 486
02-20-17 12:08, 6221, 504
02-20-17 12:09, 6372, 556
02-20-17 12:10, 6167, 524
02-20-17 12:11, 6176, 513
02-20-17 12:12, 6091, 512
02-20-17 12:13, 6154, 559
02-20-17 12:14, 6149, 533
02-20-17 12:15, 6218, 553
02-20-17 12:16, 6040, 504
02-20-17 12:17, 5982, 515
02-20-17 12:18, 6160, 548
02-20-17 12:19, 6267, 494
02-20-17 12:20, 6462, 491
02-20-17 12:21, 6122, 453
02-20-17 12:22, 5538, 365
02-20-17 12:23, 5596, 397
02-20-17 12:24, 5687, 406
02-20-17 12:25, 5769, 439
02-20-17 12:26, 6087, 506
02-20-17 12:27, 5965, 481
02-20-17 12:28, 5904, 486
02-20-17 12:29, 6009, 478
02-20-17 12:30, 5914, 509
02-20-17 12:31, 6503, 583
02-20-17 12:32, 6431, 523
02-20-17 12:33, 6189, 521
02-20-17 12:34, 6131, 529
02-20-17 12:35, 6045, 501
02-20-17 12:36, 5843, 487
02-20-17 12:37, 5963, 465
02-20-17 12:38, 5864, 480
02-20-17 12:39, 5961, 438
02-20-17 12:40, 6147, 369
02-20-17 12:41, 6043, 380
02-20-17 12:42, 5965, 420
02-20-17 12:43, 6020, 410
02-20-17 12:44, 5862, 382
02-20-17 12:45, 5799, 392
02-20-17 12:46, 5896, 392
02-20-17 12:47, 5765, 365
02-20-17 12:48, 5816, 352
02-20-17 12:49, 5784, 343
02-20-17 12:50, 5773, 353
02-20-17 12:51, 5691, 349
02-20-17 12:52, 5625, 315
02-20-17 12:53, 5588, 295
02-20-17 12:54, 5654, 309
02-20-17 12:55, 5624, 310
02-20-17 12:56, 5632, 309
02-20-17 12:57, 5503, 309
02-20-17 12:58, 5469, 306
02-20-17 12:59, 5548, 306
02-20-17 13:00, 5481, 299
02-20-17 13:01, 5421, 281
02-20-17 13:02, 5559, 324
