------------------------------
Dylos Logger v 2.0.0.0
Unit: DC1700 v 2.08
Date/Time: 02-23-17 09:40
------------------------------
Particles per cubic foot / 100
------------------------------
Date/Time, Small, Large
02-20-17 10:24, 7108, 428
02-22-17 10:34, 6202, 766
02-22-17 10:35, 6097, 789
02-22-17 10:36, 5618, 748
02-22-17 10:37, 5358, 754
02-22-17 10:38, 5106, 684
02-22-17 10:39, 5545, 1056
02-22-17 10:40, 5177, 947
02-22-17 10:41, 5136, 996
02-22-17 10:42, 4906, 892
02-22-17 10:43, 4965, 919
02-22-17 10:44, 4978, 970
02-22-17 10:45, 4957, 992
02-22-17 10:46, 4891, 999
02-22-17 10:47, 4825, 992
02-22-17 10:48, 4669, 964
02-22-17 10:49, 4521, 956
02-22-17 10:50, 4426, 930
02-22-17 10:51, 4394, 888
02-22-17 10:52, 4314, 869
02-22-17 10:53, 4251, 876
02-22-17 10:54, 4206, 830
02-22-17 10:55, 4186, 825
02-22-17 10:56, 4113, 823
02-22-17 10:57, 4054, 777
02-22-17 10:58, 3983, 785
02-22-17 10:59, 3904, 772
02-22-17 11:00, 4068, 802
02-22-17 11:01, 3956, 799
02-22-17 11:02, 3875, 771
02-22-17 11:03, 3901, 793
02-22-17 11:04, 3763, 763
02-22-17 11:05, 3872, 807
02-22-17 11:06, 3819, 782
02-22-17 11:07, 3787, 736
02-22-17 11:08, 3764, 739
02-22-17 11:09, 3729, 740
02-22-17 11:10, 3550, 686
02-22-17 11:11, 3563, 680
02-22-17 11:12, 3484, 669
02-22-17 11:13, 3517, 665
02-22-17 11:14, 3565, 666
02-22-17 11:15, 3448, 620
02-22-17 11:16, 3259, 537
02-22-17 11:17, 3382, 617
02-22-17 11:18, 3418, 602
02-22-17 11:19, 3389, 614
02-22-17 11:20, 3332, 619
02-22-17 11:21, 3323, 612
02-22-17 11:22, 3373, 618
02-22-17 11:23, 3325, 559
02-22-17 11:24, 2890, 285
02-22-17 11:25, 2891, 311
02-22-17 11:26, 2674, 283
02-22-17 11:27, 2629, 280
02-22-17 11:28, 2381, 185
02-22-17 11:29, 2254, 156
02-22-17 11:30, 2315, 139
02-22-17 11:31, 2478, 140
02-22-17 11:32, 2693, 144
02-22-17 11:33, 2713, 138
02-22-17 11:34, 2559, 108
02-22-17 11:35, 2794, 186
02-22-17 11:36, 2800, 128
02-22-17 11:37, 2616, 106
02-22-17 11:38, 2485, 101
02-22-17 11:39, 2560, 115
02-22-17 11:40, 3184, 199
02-22-17 11:41, 4316, 356
02-22-17 11:42, 4278, 458
02-22-17 11:43, 4695, 609
02-22-17 11:44, 4727, 662
02-22-17 11:45, 4441, 619
02-22-17 11:46, 3974, 540
02-22-17 11:47, 4160, 581
02-22-17 11:48, 3962, 541
02-22-17 11:49, 3615, 472
02-22-17 11:50, 3455, 468
02-22-17 11:51, 3399, 448
02-22-17 11:52, 3399, 453
02-22-17 11:53, 3116, 367
02-22-17 11:54, 3080, 390
02-22-17 11:55, 3188, 444
02-22-17 11:56, 3243, 445
02-22-17 11:57, 3133, 446
02-22-17 11:58, 3156, 459
02-22-17 11:59, 3140, 436
02-22-17 12:00, 3240, 462
02-22-17 12:01, 3333, 439
02-22-17 12:02, 3162, 419
02-22-17 12:03, 3092, 386
02-22-17 12:04, 2988, 355
02-22-17 12:05, 2791, 314
02-22-17 12:06, 2955, 359
02-22-17 12:07, 2799, 305
02-22-17 12:08, 2710, 289
02-22-17 12:09, 2753, 313
02-22-17 12:10, 2777, 306
02-22-17 12:11, 2633, 259
02-22-17 12:12, 2669, 284
02-22-17 12:13, 2828, 335
02-22-17 12:14, 2721, 303
02-22-17 12:15, 2455, 231
02-22-17 12:16, 2495, 245
02-22-17 12:17, 2325, 210
02-22-17 12:18, 2357, 220
02-22-17 12:19, 2235, 208
02-22-17 12:20, 2591, 272
02-22-17 12:21, 2882, 281
02-22-17 12:22, 4473, 519
02-22-17 12:23, 3690, 472
02-22-17 12:24, 3363, 462
02-22-17 12:25, 2864, 343
02-22-17 12:26, 3159, 420
02-22-17 12:27, 3662, 499
02-22-17 12:28, 3591, 636
02-22-17 12:29, 3937, 872
02-22-17 12:30, 4059, 948
02-22-17 12:31, 4023, 969
02-22-17 12:32, 4162, 1098
02-22-17 12:33, 3917, 925
02-22-17 12:34, 3813, 915
02-22-17 12:35, 3674, 876
02-22-17 12:36, 3559, 800
02-22-17 12:37, 3592, 826
02-22-17 12:38, 3452, 770
02-22-17 12:39, 3353, 687
02-22-17 12:40, 3222, 676
02-22-17 12:41, 3087, 617
02-22-17 12:42, 3026, 575
02-22-17 12:43, 2906, 527
02-22-17 12:44, 2809, 519
02-22-17 12:45, 2724, 487
02-22-17 12:46, 2668, 472
02-22-17 12:47, 2597, 449
02-22-17 12:48, 2487, 402
02-22-17 12:49, 2549, 420
02-22-17 12:50, 2457, 396
02-22-17 12:51, 2346, 365
02-22-17 12:52, 2363, 357
02-22-17 12:53, 2306, 343
02-22-17 12:54, 2301, 351
02-22-17 12:55, 2234, 333
02-22-17 12:56, 2188, 325
02-22-17 12:57, 2207, 321
02-22-17 12:58, 2108, 301
02-22-17 12:59, 2128, 307
02-22-17 13:00, 2069, 278
02-22-17 13:01, 1990, 271
02-22-17 13:02, 1956, 238
02-22-17 13:03, 1923, 235
02-22-17 13:04, 1835, 240
02-22-17 13:05, 1918, 235
02-22-17 13:06, 1864, 231
02-22-17 13:07, 1918, 268
02-22-17 13:08, 1872, 235
02-22-17 13:09, 1935, 253
02-22-17 13:10, 1958, 251
02-22-17 13:11, 1764, 151
02-22-17 13:12, 1793, 110
02-22-17 13:13, 1823, 163
02-22-17 13:14, 1799, 163
02-22-17 13:15, 2452, 453
02-22-17 13:16, 2111, 303
02-22-17 13:17, 2229, 342
02-22-17 13:18, 2329, 371
02-22-17 13:19, 2138, 207
02-22-17 13:20, 1930, 109
02-22-17 13:21, 1968, 128
02-22-17 13:22, 1990, 119
02-22-17 13:23, 1832, 105
02-22-17 13:24, 1883, 92
02-22-17 13:25, 1827, 92
02-22-17 13:26, 1908, 72
02-22-17 13:27, 1963, 75
02-22-17 13:28, 1820, 77
02-22-17 13:29, 1780, 60
02-22-17 13:30, 1774, 70
02-22-17 13:31, 1857, 68
02-22-17 13:32, 2030, 63
02-22-17 13:33, 2285, 59
02-22-17 13:34, 2261, 63
02-22-17 13:35, 2347, 65
02-22-17 13:36, 2442, 66
02-22-17 13:37, 2285, 65
02-22-17 13:38, 2308, 59
02-22-17 13:39, 2331, 65
02-22-17 13:40, 2288, 76
02-22-17 13:41, 2387, 81
02-22-17 13:42, 2343, 86
02-22-17 13:43, 2385, 99
02-22-17 13:44, 2441, 100
02-22-17 13:45, 2586, 92
02-22-17 13:46, 2580, 98
02-22-17 13:47, 2431, 89
02-22-17 13:48, 2363, 109
02-22-17 13:49, 2457, 139
02-22-17 13:50, 2909, 292
02-22-17 13:51, 3089, 374
02-22-17 13:52, 2881, 185
02-22-17 13:53, 2751, 161
02-22-17 13:54, 2718, 142
02-22-17 13:55, 2594, 150
02-22-17 13:56, 2629, 159
02-22-17 13:57, 2509, 146
02-22-17 13:58, 2429, 135
02-22-17 13:59, 2372, 122
02-22-17 14:00, 2263, 99
02-22-17 14:01, 2306, 85
02-22-17 14:02, 2327, 99
02-22-17 14:03, 2235, 97
02-22-17 14:04, 2232, 90
02-22-17 14:05, 2077, 72
02-22-17 14:06, 2149, 110
02-22-17 14:07, 2707, 351
02-22-17 14:08, 2809, 395
02-22-17 14:09, 3202, 555
02-22-17 14:10, 3268, 660
02-22-17 14:11, 3228, 562
02-22-17 14:12, 3020, 358
02-22-17 14:13, 2948, 349
02-22-17 14:14, 2747, 312
02-22-17 14:15, 2656, 221
02-22-17 14:16, 2962, 205
02-22-17 14:17, 3406, 337
02-22-17 14:18, 3642, 486
02-22-17 14:19, 3299, 461
02-22-17 14:20, 3503, 542
02-22-17 14:21, 3097, 283
02-22-17 14:22, 3165, 322
02-22-17 14:23, 3127, 334
02-22-17 14:24, 3236, 383
02-22-17 14:25, 3121, 410
02-22-17 14:26, 3093, 382
02-22-17 14:27, 2823, 326
02-22-17 14:28, 2889, 295
02-22-17 14:29, 2799, 244
02-22-17 14:30, 2751, 263
02-22-17 14:31, 2730, 272
02-22-17 14:32, 2779, 264
02-22-17 14:33, 2709, 275
02-22-17 14:34, 2658, 260
02-22-17 14:35, 2613, 275
02-22-17 14:36, 2635, 255
02-22-17 14:37, 2535, 245
02-22-17 14:38, 2405, 257
02-22-17 14:39, 2406, 261
02-22-17 14:40, 2916, 642
02-22-17 14:41, 2486, 278
02-22-17 14:42, 2452, 298
02-22-17 14:43, 2473, 292
02-22-17 14:44, 2378, 294
02-22-17 14:45, 2436, 334
02-22-17 14:46, 2418, 346
02-22-17 14:47, 2398, 353
02-22-17 14:48, 2525, 386
02-22-17 14:49, 2480, 373
02-22-17 14:50, 2478, 376
02-22-17 14:51, 2435, 368
02-22-17 14:52, 2406, 338
02-22-17 14:53, 2369, 334
02-22-17 14:54, 2387, 340
02-22-17 14:55, 2346, 331
02-22-17 14:56, 2372, 348
02-22-17 14:57, 2288, 326
02-22-17 14:58, 2310, 306
02-22-17 14:59, 2243, 308
02-22-17 15:00, 2283, 311
02-22-17 15:01, 2314, 340
02-22-17 15:02, 2292, 345
02-22-17 15:03, 2282, 330
02-22-17 15:04, 2201, 311
02-22-17 15:05, 2502, 461
02-22-17 15:06, 2938, 716
02-22-17 15:07, 3019, 773
02-22-17 15:08, 3327, 888
02-22-17 15:09, 3246, 833
02-22-17 15:10, 3494, 986
02-22-17 15:11, 3613, 1043
02-22-17 15:12, 3460, 941
02-22-17 15:13, 3337, 868
02-22-17 15:14, 3242, 830
02-22-17 15:15, 3171, 834
02-22-17 15:16, 2899, 688
02-22-17 15:17, 2788, 602
02-22-17 15:18, 2710, 593
02-22-17 15:19, 2785, 633
02-22-17 15:20, 2786, 674
02-22-17 15:21, 2695, 584
02-22-17 15:22, 2746, 579
02-22-17 15:23, 2899, 678
02-22-17 15:24, 2864, 687
02-22-17 15:25, 2783, 596
02-22-17 15:26, 2828, 578
02-22-17 15:27, 2751, 552
02-22-17 15:28, 2764, 526
02-22-17 15:29, 2672, 522
02-22-17 15:30, 2696, 511
02-22-17 15:31, 2694, 506
02-22-17 15:32, 2669, 492
02-22-17 15:33, 2806, 515
02-22-17 15:34, 2699, 506
02-22-17 15:35, 2637, 441
02-22-17 15:36, 2681, 460
02-22-17 15:37, 2532, 416
02-22-17 15:38, 2540, 425
02-22-17 15:39, 2447, 376
02-22-17 15:40, 2388, 374
02-22-17 15:41, 2419, 399
02-22-17 15:42, 2440, 414
02-22-17 15:43, 2506, 478
02-22-17 15:44, 2591, 523
02-22-17 15:45, 2984, 683
02-22-17 15:46, 2741, 622
02-22-17 15:47, 2642, 557
02-22-17 15:48, 2941, 709
02-22-17 15:49, 3156, 815
02-22-17 15:50, 2829, 661
02-22-17 15:51, 2696, 584
02-22-17 15:52, 2741, 616
02-22-17 15:53, 2966, 715
02-22-17 15:54, 2756, 636
02-22-17 15:55, 2924, 701
02-22-17 15:56, 3407, 929
02-22-17 15:57, 4096, 1254
02-22-17 15:58, 4032, 1158
02-22-17 15:59, 4019, 1151
02-22-17 16:00, 3361, 817
02-22-17 16:01, 3874, 1027
02-22-17 16:02, 3820, 1044
02-22-17 16:03, 6284, 2205
02-22-17 16:04, 5495, 1792
02-22-17 16:05, 5549, 1901
02-22-17 16:06, 5659, 1925
02-22-17 16:07, 6023, 2010
02-22-17 16:08, 5499, 1773
02-22-17 16:09, 5326, 1718
02-22-17 16:10, 4951, 1553
