sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-02-01T09:09:08.755+0100,21.16619395,42.65834706,100.78
2017-02-01T09:09:09.942+0100,21.16617587,42.65834866,101.86
2017-02-01T09:09:11.092+0100,21.16615988,42.65835517,101.5
2017-02-01T09:09:12.282+0100,21.16613518,42.65834492,101.5
2017-02-01T09:09:13.434+0100,21.16611535,42.65833778,100.42
2017-02-01T09:09:14.634+0100,21.16608425,42.65834121,97.93
2017-02-01T09:09:15.735+0100,21.16607709,42.65834318,98.99
2017-02-01T09:09:16.965+0100,21.16606674,42.6583459,92.72
2017-02-01T09:09:18.095+0100,21.16605522,42.65834792,91.7
2017-02-01T09:09:19.296+0100,21.16603859,42.65834595,90.0
2017-02-01T09:09:20.412+0100,21.16602196,42.65834071,88.33
2017-02-01T09:09:21.612+0100,21.16599036,42.65833335,87.99
2017-02-01T09:09:22.762+0100,21.16597744,42.65833431,93.4
2017-02-01T09:09:23.947+0100,21.16596101,42.65833263,95.48
2017-02-01T09:09:25.086+0100,21.16594806,42.6583319,93.4
2017-02-01T09:09:26.251+0100,21.16593099,42.65833322,94.78
2017-02-01T09:09:27.412+0100,21.16591328,42.65833484,89.0
2017-02-01T09:09:28.619+0100,21.1658766,42.65833764,91.36
2017-02-01T09:09:29.767+0100,21.16586489,42.65833541,92.72
2017-02-01T09:09:30.942+0100,21.16584803,42.65833721,91.7
2017-02-01T09:09:32.067+0100,21.16583209,42.65834181,86.01
2017-02-01T09:09:33.277+0100,21.16581181,42.65834197,86.34
2017-02-01T09:09:34.418+0100,21.16579927,42.6583438,87.66
2017-02-01T09:09:35.619+0100,21.16577711,42.65833897,87.66
2017-02-01T09:09:36.753+0100,21.1657723,42.65833478,89.67
2017-02-01T09:09:37.920+0100,21.16576587,42.65833117,92.72
2017-02-01T09:09:39.100+0100,21.16575611,42.6583295,90.68
2017-02-01T09:09:40.245+0100,21.1657433,42.658329,94.78
2017-02-01T09:09:41.405+0100,21.16573258,42.65833054,91.7
2017-02-01T09:09:42.617+0100,21.16570911,42.65833597,92.04
2017-02-01T09:09:43.770+0100,21.16568829,42.65833509,93.4
2017-02-01T09:09:44.925+0100,21.16567776,42.65833719,95.48
2017-02-01T09:09:46.136+0100,21.16566704,42.65833765,95.13
2017-02-01T09:09:47.279+0100,21.16565055,42.65834157,87.99
2017-02-01T09:09:48.433+0100,21.16563885,42.65834085,85.68
2017-02-01T09:09:49.620+0100,21.16561071,42.65834197,86.01
2017-02-01T09:09:50.760+0100,21.16559478,42.6583474,84.04
2017-02-01T09:09:51.941+0100,21.16557982,42.65835283,84.37
2017-02-01T09:09:53.088+0100,21.16556128,42.65835496,88.33
2017-02-01T09:09:54.271+0100,21.16554671,42.65835787,91.02
2017-02-01T09:09:55.427+0100,21.16552831,42.65835869,89.0
2017-02-01T09:09:56.618+0100,21.16549849,42.6583612,93.06
2017-02-01T09:09:57.748+0100,21.16548184,42.65836602,90.34
2017-02-01T09:09:58.932+0100,21.16547257,42.65836911,89.33
2017-02-01T09:10:00.099+0100,21.16546872,42.65837064,88.33
2017-02-01T09:10:01.267+0100,21.16544748,42.65836948,87.99
2017-02-01T09:10:02.451+0100,21.16543806,42.65836989,90.68
2017-02-01T09:10:03.605+0100,21.16540381,42.65836768,80.82
2017-02-01T09:10:04.757+0100,21.16539265,42.65836926,81.78
2017-02-01T09:10:05.963+0100,21.16537968,42.65837197,83.39
2017-02-01T09:10:07.102+0100,21.16536718,42.65837127,84.04
2017-02-01T09:10:08.272+0100,21.16535922,42.65837001,84.04
2017-02-01T09:10:09.395+0100,21.16535016,42.65836838,77.04
2017-02-01T09:10:10.599+0100,21.16534466,42.65838165,80.82
2017-02-01T09:10:11.758+0100,21.16533497,42.65838288,76.1
2017-02-01T09:10:12.892+0100,21.16532674,42.65838605,74.56
2017-02-01T09:10:14.091+0100,21.16531618,42.65838614,73.95
2017-02-01T09:10:15.242+0100,21.16531043,42.65839046,75.18
2017-02-01T09:10:16.427+0100,21.16529888,42.65838741,77.35
2017-02-01T09:10:17.582+0100,21.16528418,42.6583954,76.41
2017-02-01T09:10:18.756+0100,21.16527653,42.65839464,78.92
2017-02-01T09:10:19.922+0100,21.16526766,42.65839742,79.55
2017-02-01T09:10:21.082+0100,21.16525688,42.65839873,83.72
2017-02-01T09:10:22.276+0100,21.16524643,42.65839915,84.7
2017-02-01T09:10:23.448+0100,21.16523574,42.6584012,89.67
2017-02-01T09:10:24.573+0100,21.16521,42.65841924,88.66
2017-02-01T09:10:25.757+0100,21.16519275,42.65842057,91.02
2017-02-01T09:10:26.950+0100,21.1651678,42.65842646,87.66
2017-02-01T09:10:28.099+0100,21.16515031,42.65843086,92.04
2017-02-01T09:10:29.246+0100,21.16513012,42.65843231,87.0
2017-02-01T09:10:30.408+0100,21.16511369,42.65843514,89.67
2017-02-01T09:10:31.582+0100,21.16510306,42.65844594,88.66
2017-02-01T09:10:32.737+0100,21.16510656,42.65844838,89.67
2017-02-01T09:10:33.914+0100,21.16508582,42.65845089,91.7
2017-02-01T09:10:35.072+0100,21.16508197,42.65845223,89.67
2017-02-01T09:10:36.258+0100,21.16507614,42.65845291,88.33
2017-02-01T09:10:37.455+0100,21.16507101,42.6584542,95.13
2017-02-01T09:10:38.599+0100,21.16506121,42.65845888,92.04
2017-02-01T09:10:39.759+0100,21.16505739,42.65846127,95.48
2017-02-01T09:10:40.915+0100,21.16506005,42.65846456,92.72
2017-02-01T09:10:42.089+0100,21.16505774,42.65847946,95.83
2017-02-01T09:10:43.291+0100,21.1650523,42.65848247,95.48
2017-02-01T09:10:44.392+0100,21.16504946,42.65849279,100.06
2017-02-01T09:10:45.570+0100,21.16504209,42.65850453,101.14
2017-02-01T09:10:46.738+0100,21.16503775,42.65850909,106.63
2017-02-01T09:10:47.917+0100,21.16503106,42.6585157,111.17
2017-02-01T09:10:49.082+0100,21.16502554,42.65851914,112.72
2017-02-01T09:10:50.269+0100,21.16502292,42.65851936,101.5
2017-02-01T09:10:51.409+0100,21.16501136,42.65851704,97.23
2017-02-01T09:10:52.591+0100,21.16500343,42.65853071,93.4
2017-02-01T09:10:53.744+0100,21.16499455,42.65853303,90.0
2017-02-01T09:10:54.932+0100,21.16499575,42.65853546,81.46
2017-02-01T09:10:56.069+0100,21.16500611,42.65854618,83.72
2017-02-01T09:10:57.246+0100,21.16501413,42.65855141,86.34
2017-02-01T09:10:58.418+0100,21.16502024,42.65855916,84.37
2017-02-01T09:10:59.579+0100,21.16500454,42.65857164,84.04
2017-02-01T09:11:00.730+0100,21.16499472,42.65857657,85.35
2017-02-01T09:11:01.953+0100,21.16498779,42.65858195,91.36
2017-02-01T09:11:03.079+0100,21.16497862,42.65858922,92.04
2017-02-01T09:11:04.258+0100,21.16496861,42.65858936,92.38
2017-02-01T09:11:05.413+0100,21.16496353,42.65859192,94.44
2017-02-01T09:11:06.560+0100,21.16495132,42.65860627,96.88
2017-02-01T09:11:07.744+0100,21.16494145,42.65861765,96.17
2017-02-01T09:11:08.957+0100,21.16493314,42.65861782,93.75
2017-02-01T09:11:10.085+0100,21.16492842,42.6586212,95.13
2017-02-01T09:11:11.247+0100,21.16492368,42.6586219,93.75
2017-02-01T09:11:12.421+0100,21.16492569,42.65862434,94.09
2017-02-01T09:11:13.588+0100,21.16492158,42.6586495,85.02
2017-02-01T09:11:14.742+0100,21.16491513,42.65867286,87.66
2017-02-01T09:11:15.908+0100,21.16490165,42.65868712,89.33
2017-02-01T09:11:17.131+0100,21.16489957,42.65869653,92.72
2017-02-01T09:11:18.257+0100,21.16489987,42.65870867,95.48
2017-02-01T09:11:19.457+0100,21.16492227,42.65874919,95.48
2017-02-01T09:11:20.623+0100,21.16493225,42.65876345,87.66
2017-02-01T09:11:21.743+0100,21.16493519,42.65877833,90.34
2017-02-01T09:11:22.953+0100,21.16492594,42.6587889,93.4
2017-02-01T09:11:24.076+0100,21.1649181,42.65879636,94.09
2017-02-01T09:11:25.264+0100,21.16491432,42.65880924,90.68
2017-02-01T09:11:26.377+0100,21.16490375,42.65882053,89.33
2017-02-01T09:11:27.578+0100,21.16489914,42.65884868,91.36
2017-02-01T09:11:28.781+0100,21.1648941,42.65885667,88.33
2017-02-01T09:11:29.904+0100,21.16490184,42.65886739,93.06
2017-02-01T09:11:31.065+0100,21.16489928,42.65888209,100.06
2017-02-01T09:11:32.248+0100,21.16490497,42.65890241,100.42
2017-02-01T09:11:33.419+0100,21.16489329,42.65890759,98.64
2017-02-01T09:11:34.622+0100,21.16488313,42.65893648,92.04
2017-02-01T09:11:35.737+0100,21.16488482,42.65893857,94.44
2017-02-01T09:11:36.916+0100,21.16485525,42.65895279,95.13
2017-02-01T09:11:38.050+0100,21.164828,42.65897285,92.04
2017-02-01T09:11:39.231+0100,21.16480054,42.65897942,91.36
2017-02-01T09:11:40.399+0100,21.16478124,42.65898255,93.75
