sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-02-03T15:10:29.642+0100,21.1663108,42.65814384,21.77
2017-02-03T15:10:30.759+0100,21.16630628,42.65815571,22.67
2017-02-03T15:10:31.936+0100,21.16631846,42.65817718,21.99
2017-02-03T15:10:33.129+0100,21.16631525,42.65818715,21.13
2017-02-03T15:10:34.251+0100,21.16631,42.65819545,20.01
2017-02-03T15:10:35.487+0100,21.16629501,42.65820363,18.57
2017-02-03T15:10:36.660+0100,21.16625897,42.6582209,20.01
2017-02-03T15:10:37.800+0100,21.16624279,42.65822303,19.91
2017-02-03T15:10:38.963+0100,21.16622413,42.65822852,19.81
2017-02-03T15:10:40.149+0100,21.16620514,42.65823444,19.42
2017-02-03T15:10:41.295+0100,21.16619842,42.65823219,19.32
2017-02-03T15:10:42.428+0100,21.1661969,42.65823246,19.81
2017-02-03T15:10:43.664+0100,21.16618564,42.65824006,20.71
2017-02-03T15:10:44.731+0100,21.16617798,42.65824291,21.45
2017-02-03T15:10:45.973+0100,21.16616773,42.65824732,22.1
2017-02-03T15:10:47.134+0100,21.16615604,42.65824916,21.34
2017-02-03T15:10:48.248+0100,21.16614785,42.65825319,20.61
2017-02-03T15:10:49.448+0100,21.16613438,42.65826147,21.77
2017-02-03T15:10:50.606+0100,21.16611919,42.65826522,21.99
2017-02-03T15:10:51.772+0100,21.16608152,42.65826982,22.55
2017-02-03T15:10:52.960+0100,21.16606381,42.65826955,23.01
2017-02-03T15:10:54.077+0100,21.16604813,42.65827008,22.22
2017-02-03T15:10:55.362+0100,21.16602926,42.65826882,22.55
2017-02-03T15:10:56.447+0100,21.16601239,42.65827272,21.67
2017-02-03T15:10:57.578+0100,21.16599997,42.65827555,21.24
2017-02-03T15:10:58.771+0100,21.16596562,42.65827847,20.51
2017-02-03T15:10:59.932+0100,21.16594996,42.65827549,19.71
2017-02-03T15:11:01.128+0100,21.16593718,42.65827517,19.42
2017-02-03T15:11:02.276+0100,21.16591683,42.65827378,19.42
2017-02-03T15:11:03.419+0100,21.16590117,42.65828045,19.23
2017-02-03T15:11:04.643+0100,21.16586707,42.65828142,18.66
2017-02-03T15:11:05.739+0100,21.16585251,42.65828268,17.58
2017-02-03T15:11:06.939+0100,21.16585327,42.65829136,17.15
2017-02-03T15:11:08.076+0100,21.16585335,42.6582865,18.03
2017-02-03T15:11:09.310+0100,21.16582865,42.65828313,18.3
2017-02-03T15:11:10.406+0100,21.16582083,42.6582936,19.32
2017-02-03T15:11:11.573+0100,21.16580282,42.65829753,17.94
2017-02-03T15:11:12.754+0100,21.16576615,42.65830359,17.32
2017-02-03T15:11:13.972+0100,21.16575122,42.65830194,17.41
2017-02-03T15:11:15.097+0100,21.16574252,42.65830211,16.48
2017-02-03T15:11:16.269+0100,21.16572398,42.6583035,16.81
2017-02-03T15:11:17.482+0100,21.16571419,42.65830851,16.81
2017-02-03T15:11:18.622+0100,21.1657083,42.65831632,16.23
2017-02-03T15:11:19.753+0100,21.16566834,42.65831588,16.73
2017-02-03T15:11:20.951+0100,21.16564818,42.65831207,16.48
2017-02-03T15:11:22.083+0100,21.16562465,42.65831463,15.9
2017-02-03T15:11:23.314+0100,21.16560673,42.65831197,15.5
2017-02-03T15:11:24.431+0100,21.16559194,42.65831498,15.03
2017-02-03T15:11:25.624+0100,21.16556687,42.65831933,14.95
2017-02-03T15:11:26.813+0100,21.16553946,42.65832126,14.72
2017-02-03T15:11:27.910+0100,21.16552978,42.65831663,14.72
2017-02-03T15:11:29.113+0100,21.16551441,42.65832243,15.18
2017-02-03T15:11:30.272+0100,21.16550976,42.65832806,15.74
2017-02-03T15:11:31.418+0100,21.16550067,42.65833004,16.23
2017-02-03T15:11:32.575+0100,21.16549965,42.65833661,16.15
2017-02-03T15:11:33.750+0100,21.16547594,42.6583419,15.82
2017-02-03T15:11:34.931+0100,21.16546931,42.6583397,15.11
2017-02-03T15:11:36.094+0100,21.16545394,42.6583436,14.64
2017-02-03T15:11:37.292+0100,21.16543323,42.65834092,14.64
2017-02-03T15:11:38.368+0100,21.16541883,42.65833853,15.34
2017-02-03T15:11:39.600+0100,21.16540425,42.65834197,15.58
2017-02-03T15:11:40.760+0100,21.16538005,42.6583421,15.9
2017-02-03T15:11:41.936+0100,21.16535575,42.65833862,15.66
2017-02-03T15:11:43.117+0100,21.16534635,42.6583358,16.15
2017-02-03T15:11:44.295+0100,21.1653309,42.65833431,17.24
2017-02-03T15:11:45.460+0100,21.16532438,42.65833775,17.94
2017-02-03T15:11:46.603+0100,21.16531465,42.65834012,18.48
2017-02-03T15:11:47.774+0100,21.16529622,42.65833419,18.85
2017-02-03T15:11:48.914+0100,21.16529328,42.65833096,19.42
2017-02-03T15:11:50.090+0100,21.1652925,42.65833311,20.31
2017-02-03T15:11:51.246+0100,21.16529128,42.65833389,19.42
2017-02-03T15:11:52.421+0100,21.16528275,42.6583374,18.85
2017-02-03T15:11:53.597+0100,21.16527613,42.65834137,18.85
2017-02-03T15:11:54.740+0100,21.16526455,42.65835173,18.03
2017-02-03T15:11:55.947+0100,21.16523892,42.65834721,19.51
2017-02-03T15:11:57.095+0100,21.16522757,42.65834668,20.1
2017-02-03T15:11:58.279+0100,21.16522289,42.65834675,19.81
2017-02-03T15:11:59.430+0100,21.16521441,42.65835171,20.31
2017-02-03T15:12:00.584+0100,21.16520671,42.65835297,20.51
2017-02-03T15:12:01.769+0100,21.16519733,42.65835112,20.31
2017-02-03T15:12:02.940+0100,21.16518895,42.65835183,20.41
2017-02-03T15:12:04.073+0100,21.16518308,42.65835225,20.92
2017-02-03T15:12:05.283+0100,21.16516038,42.65835743,21.99
2017-02-03T15:12:06.391+0100,21.16514879,42.65835288,20.71
2017-02-03T15:12:07.638+0100,21.16513715,42.65835732,20.82
2017-02-03T15:12:08.729+0100,21.16511264,42.65837655,20.82
2017-02-03T15:12:09.906+0100,21.16511071,42.65837426,20.2
2017-02-03T15:12:11.069+0100,21.16509373,42.65838421,20.51
2017-02-03T15:12:12.278+0100,21.16508487,42.65839864,20.2
2017-02-03T15:12:13.400+0100,21.16508764,42.65839861,20.1
2017-02-03T15:12:14.594+0100,21.16507498,42.65840336,20.01
2017-02-03T15:12:15.738+0100,21.16507508,42.65840884,19.81
2017-02-03T15:12:16.885+0100,21.1650746,42.65841073,19.42
2017-02-03T15:12:18.083+0100,21.16505549,42.65842228,20.31
2017-02-03T15:12:19.314+0100,21.16502282,42.65844127,21.03
2017-02-03T15:12:20.399+0100,21.16500962,42.65845266,20.92
2017-02-03T15:12:21.593+0100,21.16498618,42.65847461,20.71
2017-02-03T15:12:22.720+0100,21.16498713,42.6584782,21.03
2017-02-03T15:12:23.975+0100,21.16498664,42.6584805,21.13
2017-02-03T15:12:25.048+0100,21.1649865,42.65848357,21.03
2017-02-03T15:12:26.258+0100,21.1649793,42.65848949,20.2
2017-02-03T15:12:27.389+0100,21.16497328,42.65850761,20.1
2017-02-03T15:12:28.591+0100,21.16495568,42.65853909,20.01
2017-02-03T15:12:29.754+0100,21.16494154,42.65857111,20.51
2017-02-03T15:12:30.884+0100,21.16493567,42.65858614,21.03
2017-02-03T15:12:32.078+0100,21.16492197,42.658594,21.45
2017-02-03T15:12:33.244+0100,21.16490224,42.65860755,21.34
2017-02-03T15:12:34.437+0100,21.16489473,42.65862545,22.22
2017-02-03T15:12:35.578+0100,21.1648905,42.65862731,20.82
2017-02-03T15:12:36.748+0100,21.16488564,42.65864147,20.1
2017-02-03T15:12:37.904+0100,21.16487778,42.65865276,19.51
2017-02-03T15:12:39.083+0100,21.16487363,42.65866246,18.48
2017-02-03T15:12:40.244+0100,21.16487228,42.65866798,18.03
2017-02-03T15:12:41.418+0100,21.16487615,42.65867378,18.48
2017-02-03T15:12:42.574+0100,21.16487857,42.65867668,18.76
2017-02-03T15:12:43.754+0100,21.16488188,42.65870613,19.61
2017-02-03T15:12:44.963+0100,21.16487827,42.65870493,19.71
2017-02-03T15:12:46.070+0100,21.16488831,42.65871853,20.61
2017-02-03T15:12:47.248+0100,21.16490303,42.65875087,20.61
2017-02-03T15:12:48.440+0100,21.16490752,42.65876958,20.51
2017-02-03T15:12:49.559+0100,21.16490619,42.65877919,21.77
2017-02-03T15:12:50.701+0100,21.16488357,42.65878454,21.03
2017-02-03T15:12:51.903+0100,21.16486213,42.65878681,21.88
2017-02-03T15:12:53.091+0100,21.16486027,42.65881523,21.77
2017-02-03T15:12:54.246+0100,21.16485133,42.65882794,21.24
2017-02-03T15:12:55.403+0100,21.16484856,42.65884327,21.24
2017-02-03T15:12:56.610+0100,21.16485208,42.65885327,20.92
2017-02-03T15:12:57.707+0100,21.16483603,42.65888075,20.61
2017-02-03T15:12:58.918+0100,21.16482647,42.65889233,20.61
2017-02-03T15:13:00.068+0100,21.16482078,42.65890443,20.82
2017-02-03T15:13:01.226+0100,21.16480505,42.65892134,20.51
