sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-02-15T09:17:00.330+0100,21.16639502,42.65819494,83.72
2017-02-15T09:17:01.438+0100,21.16639502,42.65819494,84.04
2017-02-15T09:17:02.646+0100,21.16639502,42.65819494,83.72
2017-02-15T09:17:03.788+0100,21.16639502,42.65819494,86.01
2017-02-15T09:17:04.984+0100,21.16639502,42.65819494,87.66
2017-02-15T09:17:06.115+0100,21.16639502,42.65819494,90.34
2017-02-15T09:17:07.307+0100,21.16639502,42.65819494,92.72
2017-02-15T09:17:08.477+0100,21.16639502,42.65819494,97.58
2017-02-15T09:17:09.641+0100,21.16639502,42.65819494,92.04
2017-02-15T09:17:10.776+0100,21.16639502,42.65819494,92.72
2017-02-15T09:17:11.957+0100,21.16639502,42.65819494,95.83
2017-02-15T09:17:13.110+0100,21.16639502,42.65819494,96.88
2017-02-15T09:17:14.313+0100,21.16639502,42.65819494,89.67
2017-02-15T09:17:15.414+0100,21.16639502,42.65819494,88.66
2017-02-15T09:17:16.620+0100,21.16639502,42.65819494,87.33
2017-02-15T09:17:17.786+0100,21.16639502,42.65819494,89.0
2017-02-15T09:17:18.957+0100,21.16639502,42.65819494,93.75
2017-02-15T09:17:20.116+0100,21.16639502,42.65819494,95.83
2017-02-15T09:17:21.272+0100,21.16639502,42.65819494,95.48
2017-02-15T09:17:22.447+0100,21.16639502,42.65819494,100.78
2017-02-15T09:17:23.633+0100,21.16639502,42.65819494,96.17
2017-02-15T09:17:24.803+0100,21.16639502,42.65819494,95.48
2017-02-15T09:17:25.953+0100,21.16639502,42.65819494,100.42
2017-02-15T09:17:27.144+0100,21.16639502,42.65819494,100.78
2017-02-15T09:17:28.280+0100,21.16650423,42.65813924,94.78
2017-02-15T09:17:29.452+0100,21.16648164,42.658138,94.09
2017-02-15T09:17:30.632+0100,21.1664622,42.65813686,91.36
2017-02-15T09:17:31.786+0100,21.16645565,42.65813663,91.7
2017-02-15T09:17:32.964+0100,21.16646124,42.65813715,97.58
2017-02-15T09:17:34.101+0100,21.16642308,42.65813447,95.13
2017-02-15T09:17:35.298+0100,21.16640567,42.65813222,95.13
2017-02-15T09:17:36.436+0100,21.16640383,42.65813217,92.72
2017-02-15T09:17:37.631+0100,21.16640311,42.65813227,97.58
2017-02-15T09:17:38.770+0100,21.16640225,42.65813227,105.14
2017-02-15T09:17:39.963+0100,21.16640202,42.65813241,104.78
2017-02-15T09:17:41.128+0100,21.16640151,42.65813266,104.41
2017-02-15T09:17:42.294+0100,21.16640121,42.65813289,108.88
2017-02-15T09:17:43.455+0100,21.16640101,42.65813311,108.5
2017-02-15T09:17:44.637+0100,21.16640088,42.65813331,105.88
2017-02-15T09:17:45.768+0100,21.1664008,42.65813339,109.64
2017-02-15T09:17:46.962+0100,21.16639901,42.65813334,107.75
2017-02-15T09:17:48.106+0100,21.16639755,42.65813317,111.94
2017-02-15T09:17:49.294+0100,21.16639756,42.65813319,111.94
2017-02-15T09:17:50.462+0100,21.16639758,42.65813307,110.41
2017-02-15T09:17:51.602+0100,21.16639758,42.65813303,105.88
2017-02-15T09:17:52.812+0100,21.16639749,42.65813303,107.38
2017-02-15T09:17:53.996+0100,21.16639745,42.65813302,105.88
2017-02-15T09:17:55.099+0100,21.1663979,42.65813292,105.14
2017-02-15T09:17:56.266+0100,21.16639798,42.65813285,101.5
2017-02-15T09:17:57.446+0100,21.16639781,42.65813295,95.83
2017-02-15T09:17:58.606+0100,21.16639776,42.658133,88.66
2017-02-15T09:17:59.749+0100,21.16639758,42.658133,90.34
2017-02-15T09:18:00.937+0100,21.16639753,42.65813305,90.0
2017-02-15T09:18:02.125+0100,21.16639705,42.65813294,93.4
2017-02-15T09:18:03.283+0100,21.16639685,42.65813286,92.38
2017-02-15T09:18:04.459+0100,21.1663967,42.65813298,89.67
2017-02-15T09:18:05.624+0100,21.16639665,42.658133,95.83
2017-02-15T09:18:06.770+0100,21.16639648,42.65813289,98.28
2017-02-15T09:18:07.961+0100,21.16639638,42.65813318,91.36
2017-02-15T09:18:09.116+0100,21.16639662,42.65813323,90.0
2017-02-15T09:18:10.269+0100,21.16639685,42.65813327,95.13
2017-02-15T09:18:11.438+0100,21.16639695,42.65813333,97.23
2017-02-15T09:18:12.674+0100,21.16639737,42.65813346,103.68
2017-02-15T09:18:13.785+0100,21.16639785,42.65813342,103.31
2017-02-15T09:18:15.004+0100,21.16639838,42.65813337,105.51
2017-02-15T09:18:16.122+0100,21.16635559,42.65813842,107.75
2017-02-15T09:18:17.358+0100,21.16633999,42.65814035,103.31
2017-02-15T09:18:18.454+0100,21.16631857,42.65814299,100.78
2017-02-15T09:18:19.629+0100,21.16631162,42.65814397,102.22
2017-02-15T09:18:20.806+0100,21.16630764,42.65814456,103.31
2017-02-15T09:18:21.959+0100,21.16629886,42.65814559,106.26
2017-02-15T09:18:23.122+0100,21.16629515,42.65814605,107.75
2017-02-15T09:18:24.300+0100,21.16628648,42.6581543,110.41
2017-02-15T09:18:25.462+0100,21.16628553,42.65816024,110.79
2017-02-15T09:18:26.632+0100,21.16627836,42.65814984,114.68
2017-02-15T09:18:27.762+0100,21.16628303,42.65815936,117.07
2017-02-15T09:18:28.969+0100,21.16629684,42.65815935,112.33
2017-02-15T09:18:30.112+0100,21.1663435,42.65819561,116.67
2017-02-15T09:18:31.337+0100,21.16635354,42.65820836,112.33
2017-02-15T09:18:32.445+0100,21.16637192,42.65821634,105.51
2017-02-15T09:18:33.625+0100,21.16637065,42.65822434,105.51
2017-02-15T09:18:34.830+0100,21.16638465,42.65823315,105.88
2017-02-15T09:18:35.972+0100,21.16637926,42.65823531,99.7
2017-02-15T09:18:37.127+0100,21.16636256,42.65823193,101.5
2017-02-15T09:18:38.284+0100,21.16635486,42.65823021,108.13
2017-02-15T09:18:39.452+0100,21.16635334,42.65823049,106.26
2017-02-15T09:18:40.642+0100,21.16634291,42.65823251,109.26
2017-02-15T09:18:41.770+0100,21.16633264,42.65823307,104.41
2017-02-15T09:18:42.978+0100,21.16632454,42.65824171,99.35
2017-02-15T09:18:44.088+0100,21.1663039,42.6582451,100.06
2017-02-15T09:18:45.319+0100,21.16630013,42.65824454,103.31
2017-02-15T09:18:46.466+0100,21.16630243,42.65824241,98.99
2017-02-15T09:18:47.659+0100,21.16629904,42.65825114,101.5
2017-02-15T09:18:48.788+0100,21.16628595,42.6582498,100.06
2017-02-15T09:18:49.949+0100,21.16626866,42.65825275,103.31
2017-02-15T09:18:51.147+0100,21.16624939,42.65826369,100.06
2017-02-15T09:18:52.306+0100,21.16623325,42.65826927,95.48
2017-02-15T09:18:53.509+0100,21.16621775,42.65827526,96.17
2017-02-15T09:18:54.634+0100,21.16620612,42.65827868,95.13
2017-02-15T09:18:55.823+0100,21.16619163,42.6582793,101.14
2017-02-15T09:18:56.969+0100,21.16618062,42.65828225,103.31
2017-02-15T09:18:58.111+0100,21.16615917,42.65828243,101.86
2017-02-15T09:18:59.267+0100,21.16615495,42.65828223,103.68
2017-02-15T09:19:00.472+0100,21.16614546,42.65828589,106.63
2017-02-15T09:19:01.619+0100,21.16613375,42.65828301,99.7
2017-02-15T09:19:02.802+0100,21.16611287,42.65828394,100.78
2017-02-15T09:19:03.989+0100,21.16609939,42.65828432,98.99
2017-02-15T09:19:05.103+0100,21.16607707,42.65827955,100.78
2017-02-15T09:19:06.307+0100,21.16606347,42.65828211,102.22
2017-02-15T09:19:07.444+0100,21.16605033,42.65828218,106.26
2017-02-15T09:19:08.637+0100,21.1660378,42.65828714,112.72
2017-02-15T09:19:09.816+0100,21.16602257,42.65828828,113.89
2017-02-15T09:19:10.969+0100,21.16602257,42.65828828,111.17
2017-02-15T09:19:12.113+0100,21.16602257,42.65828828,107.0
2017-02-15T09:19:13.302+0100,21.16602257,42.65828828,107.38
2017-02-15T09:19:14.479+0100,21.16602257,42.65828828,111.56
2017-02-15T09:19:15.628+0100,21.16602257,42.65828828,110.41
2017-02-15T09:19:16.810+0100,21.16602257,42.65828828,113.11
2017-02-15T09:19:18.003+0100,21.16602257,42.65828828,111.17
2017-02-15T09:19:19.134+0100,21.16602257,42.65828828,116.27
2017-02-15T09:19:20.314+0100,21.16602257,42.65828828,111.94
2017-02-15T09:19:21.446+0100,21.16602257,42.65828828,108.88
2017-02-15T09:19:22.663+0100,21.16602257,42.65828828,104.78
2017-02-15T09:19:23.792+0100,21.16602257,42.65828828,106.63
2017-02-15T09:19:24.973+0100,21.16602257,42.65828828,104.04
2017-02-15T09:19:26.128+0100,21.16602257,42.65828828,104.04
2017-02-15T09:19:27.287+0100,21.16602257,42.65828828,106.26
2017-02-15T09:19:28.452+0100,21.16602257,42.65828828,106.63
2017-02-15T09:19:29.626+0100,21.16602257,42.65828828,110.02
2017-02-15T09:19:30.773+0100,21.16602257,42.65828828,95.13
2017-02-15T09:19:31.986+0100,21.16602257,42.65828828,93.4
