sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-02-22T09:17:34.326+0100,21.16589894,42.65830612,41.37
2017-02-22T09:17:35.467+0100,21.16589894,42.65830612,43.73
2017-02-22T09:17:36.612+0100,21.16589894,42.65830612,47.83
2017-02-22T09:17:37.819+0100,21.16589894,42.65830612,49.25
2017-02-22T09:17:38.958+0100,21.16589894,42.65830612,43.95
2017-02-22T09:17:40.118+0100,21.16589894,42.65830612,48.06
2017-02-22T09:17:41.313+0100,21.16589894,42.65830612,51.94
2017-02-22T09:17:42.487+0100,21.16589894,42.65830612,52.44
2017-02-22T09:17:43.682+0100,21.165129,42.6581226,51.69
2017-02-22T09:17:44.785+0100,21.165129,42.6581226,53.96
2017-02-22T09:17:45.960+0100,21.165129,42.6581226,53.71
2017-02-22T09:17:47.115+0100,21.165129,42.6581226,54.73
2017-02-22T09:17:48.356+0100,21.165129,42.6581226,56.29
2017-02-22T09:17:49.439+0100,21.165129,42.6581226,56.29
2017-02-22T09:17:50.599+0100,21.16553796,42.65837043,51.94
2017-02-22T09:17:51.784+0100,21.16547771,42.65833954,50.22
2017-02-22T09:17:53.026+0100,21.16547073,42.65833894,43.51
2017-02-22T09:17:54.192+0100,21.16546505,42.65833782,44.84
2017-02-22T09:17:55.325+0100,21.16545327,42.65833288,40.12
2017-02-22T09:17:56.502+0100,21.16543885,42.65833722,37.15
2017-02-22T09:17:57.620+0100,21.16542727,42.65833555,39.92
2017-02-22T09:17:58.785+0100,21.1654217,42.65833989,40.95
2017-02-22T09:17:59.986+0100,21.16539175,42.65834861,39.92
2017-02-22T09:18:01.096+0100,21.16537913,42.65835429,39.11
2017-02-22T09:18:02.285+0100,21.16537044,42.65834935,37.93
2017-02-22T09:18:03.495+0100,21.16535881,42.6583504,40.12
2017-02-22T09:18:04.664+0100,21.16534739,42.65834488,35.28
2017-02-22T09:18:05.809+0100,21.16532839,42.65833761,32.98
2017-02-22T09:18:06.986+0100,21.16531945,42.65833477,33.5
2017-02-22T09:18:08.125+0100,21.16531631,42.65833191,31.97
2017-02-22T09:18:09.322+0100,21.16530795,42.65833218,31.31
2017-02-22T09:18:10.456+0100,21.16530236,42.65834006,28.23
2017-02-22T09:18:11.636+0100,21.16528575,42.6583377,30.83
2017-02-22T09:18:12.788+0100,21.16527635,42.65834386,33.33
2017-02-22T09:18:13.953+0100,21.16526404,42.65836736,35.47
2017-02-22T09:18:15.137+0100,21.16525654,42.65837941,36.21
2017-02-22T09:18:16.286+0100,21.16525084,42.65838996,36.02
2017-02-22T09:18:17.465+0100,21.16524331,42.65840029,33.33
2017-02-22T09:18:18.658+0100,21.16523588,42.65841047,34.2
2017-02-22T09:18:19.787+0100,21.16523197,42.65842313,34.74
2017-02-22T09:18:20.953+0100,21.16522759,42.65844567,34.38
2017-02-22T09:18:22.106+0100,21.16522249,42.65845739,34.74
2017-02-22T09:18:23.342+0100,21.16521927,42.65846728,35.65
2017-02-22T09:18:24.444+0100,21.16522286,42.65847738,33.33
2017-02-22T09:18:25.631+0100,21.16522838,42.6584818,34.2
2017-02-22T09:18:26.755+0100,21.16522732,42.65849445,34.74
2017-02-22T09:18:27.958+0100,21.16521015,42.65851622,38.12
2017-02-22T09:18:29.098+0100,21.16520207,42.65852186,39.31
2017-02-22T09:18:30.343+0100,21.16520033,42.65852919,38.32
2017-02-22T09:18:31.458+0100,21.16520184,42.65854273,36.39
2017-02-22T09:18:32.654+0100,21.16520443,42.65855091,37.15
2017-02-22T09:18:33.759+0100,21.16521013,42.65856173,33.85
2017-02-22T09:18:34.964+0100,21.16520849,42.65858433,35.28
2017-02-22T09:18:36.111+0100,21.16520735,42.65859616,37.54
2017-02-22T09:18:37.283+0100,21.16520765,42.65860266,36.21
2017-02-22T09:18:38.454+0100,21.16521104,42.65860976,34.92
2017-02-22T09:18:39.626+0100,21.16520481,42.65861424,32.64
2017-02-22T09:18:40.774+0100,21.1651905,42.65861862,32.64
2017-02-22T09:18:41.964+0100,21.16517702,42.65863335,32.47
2017-02-22T09:18:43.114+0100,21.16517476,42.65863043,32.81
2017-02-22T09:18:44.278+0100,21.16515772,42.65863141,31.15
2017-02-22T09:18:45.456+0100,21.16514612,42.6586288,30.83
2017-02-22T09:18:46.617+0100,21.16513893,42.65863851,32.81
2017-02-22T09:18:47.758+0100,21.16513315,42.65864089,34.74
2017-02-22T09:18:48.956+0100,21.16512505,42.65864736,36.58
2017-02-22T09:18:50.088+0100,21.1651206,42.65864953,39.51
2017-02-22T09:18:51.276+0100,21.16511467,42.65865117,38.51
2017-02-22T09:18:52.453+0100,21.16511148,42.65865278,37.54
2017-02-22T09:18:53.598+0100,21.16510925,42.65865361,38.51
2017-02-22T09:18:54.752+0100,21.1651045,42.65865926,34.56
2017-02-22T09:18:55.951+0100,21.16508192,42.65866623,34.03
2017-02-22T09:18:57.104+0100,21.16506802,42.65867235,32.81
2017-02-22T09:18:58.296+0100,21.16506363,42.65867019,31.48
2017-02-22T09:18:59.434+0100,21.1650654,42.65866502,32.98
2017-02-22T09:19:00.618+0100,21.16505797,42.65866811,35.83
2017-02-22T09:19:01.772+0100,21.16504285,42.6586758,35.83
