sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-03-03T15:27:32.888+0100,21.1632694,42.64635307,15.66
2017-03-03T15:27:34.068+0100,21.16326625,42.64635418,16.81
2017-03-03T15:27:35.189+0100,21.16326593,42.64635737,17.15
2017-03-03T15:27:36.376+0100,21.16326382,42.64635906,17.58
2017-03-03T15:27:37.487+0100,21.16326817,42.64636243,17.76
2017-03-03T15:27:38.623+0100,21.16326696,42.64636599,17.94
2017-03-03T15:27:39.821+0100,21.16326454,42.64636481,16.39
2017-03-03T15:27:40.928+0100,21.16326701,42.64637097,16.48
2017-03-03T15:27:42.092+0100,21.1632657,42.64637196,17.15
2017-03-03T15:27:43.266+0100,21.16326996,42.64637623,17.15
2017-03-03T15:27:44.391+0100,21.16327228,42.64637913,17.58
2017-03-03T15:27:45.523+0100,21.16327017,42.6463777,17.24
2017-03-03T15:27:46.689+0100,21.16326874,42.64636938,16.98
2017-03-03T15:27:47.772+0100,21.16326743,42.64636046,17.41
2017-03-03T15:27:48.954+0100,21.16325767,42.64634839,18.39
2017-03-03T15:27:50.141+0100,21.163235,42.64633223,18.85
2017-03-03T15:27:51.236+0100,21.16323241,42.64631925,19.42
2017-03-03T15:27:52.372+0100,21.16323338,42.64630908,18.94
2017-03-03T15:27:53.575+0100,21.16323398,42.64629786,17.94
2017-03-03T15:27:54.698+0100,21.16323437,42.64628623,17.94
2017-03-03T15:27:55.852+0100,21.16323392,42.64627646,17.85
2017-03-03T15:27:56.953+0100,21.16323474,42.64626973,18.39
2017-03-03T15:27:58.119+0100,21.16323106,42.64624872,18.57
2017-03-03T15:27:59.247+0100,21.1632284,42.64623698,17.85
2017-03-03T15:28:00.444+0100,21.16322451,42.64622871,18.57
2017-03-03T15:28:01.550+0100,21.16322219,42.64621518,17.94
2017-03-03T15:28:02.768+0100,21.16321746,42.64620218,17.58
2017-03-03T15:28:03.849+0100,21.16321305,42.64619259,16.98
2017-03-03T15:28:05.022+0100,21.16320966,42.64618013,16.07
2017-03-03T15:28:06.194+0100,21.1632062,42.64615551,15.98
2017-03-03T15:28:07.314+0100,21.1632035,42.64614277,16.31
2017-03-03T15:28:08.449+0100,21.16320177,42.64613238,15.9
2017-03-03T15:28:09.629+0100,21.16320075,42.64611914,15.98
2017-03-03T15:28:10.746+0100,21.16319409,42.64610687,16.15
2017-03-03T15:28:11.921+0100,21.16319226,42.6460962,15.34
2017-03-03T15:28:13.022+0100,21.16318737,42.64608253,15.66
2017-03-03T15:28:14.228+0100,21.16318177,42.64605927,15.66
2017-03-03T15:28:15.346+0100,21.16317649,42.64604566,15.66
2017-03-03T15:28:16.485+0100,21.16317331,42.64603216,15.18
2017-03-03T15:28:17.616+0100,21.1631719,42.6460173,14.95
2017-03-03T15:28:18.781+0100,21.16316621,42.64600586,14.1
2017-03-03T15:28:19.944+0100,21.16316282,42.64599568,14.72
2017-03-03T15:28:21.088+0100,21.16315641,42.64597186,15.11
2017-03-03T15:28:22.266+0100,21.16315386,42.64596163,14.33
2017-03-03T15:28:23.385+0100,21.16315193,42.64594747,14.33
2017-03-03T15:28:24.522+0100,21.1631498,42.64593559,14.48
2017-03-03T15:28:25.689+0100,21.16314761,42.645922,14.48
2017-03-03T15:28:26.826+0100,21.16314303,42.64591056,14.79
2017-03-03T15:28:27.954+0100,21.16314301,42.64589877,14.18
2017-03-03T15:28:29.107+0100,21.16314013,42.64587748,14.33
2017-03-03T15:28:30.286+0100,21.16313379,42.64587076,13.87
2017-03-03T15:28:31.382+0100,21.16312888,42.64586419,13.27
2017-03-03T15:28:32.573+0100,21.1631234,42.64585897,13.72
2017-03-03T15:28:33.712+0100,21.16312191,42.64584925,13.72
2017-03-03T15:28:34.828+0100,21.16311693,42.64583942,13.8
2017-03-03T15:28:35.986+0100,21.16311415,42.6458296,14.1
2017-03-03T15:28:37.159+0100,21.1631045,42.64581361,14.64
2017-03-03T15:28:38.246+0100,21.16309969,42.6458034,14.79
2017-03-03T15:28:39.448+0100,21.16309378,42.64579662,15.11
2017-03-03T15:28:40.545+0100,21.16308891,42.64578992,15.18
2017-03-03T15:28:41.768+0100,21.16308636,42.64578172,15.9
2017-03-03T15:28:42.849+0100,21.16308523,42.64577506,16.15
2017-03-03T15:28:44.050+0100,21.1630843,42.64576631,16.23
2017-03-03T15:28:45.166+0100,21.16308126,42.64574765,17.24
2017-03-03T15:28:46.328+0100,21.16308007,42.64573308,17.07
2017-03-03T15:28:47.446+0100,21.16308231,42.64572311,16.81
2017-03-03T15:28:48.611+0100,21.16307635,42.64570998,17.41
2017-03-03T15:28:49.746+0100,21.16307355,42.64569865,17.41
2017-03-03T15:28:50.902+0100,21.16307028,42.64568771,16.73
2017-03-03T15:28:52.073+0100,21.16306876,42.64567639,16.07
2017-03-03T15:28:53.203+0100,21.1630661,42.64565626,16.15
2017-03-03T15:28:54.356+0100,21.16305742,42.64564801,17.76
2017-03-03T15:28:55.535+0100,21.16305632,42.64563615,16.73
2017-03-03T15:28:56.644+0100,21.16305319,42.64562597,16.23
2017-03-03T15:28:57.773+0100,21.16305351,42.64561725,16.31
2017-03-03T15:28:58.888+0100,21.16304674,42.64561227,17.07
2017-03-03T15:29:00.099+0100,21.16304267,42.64560401,16.73
2017-03-03T15:29:01.268+0100,21.16303381,42.64557904,17.58
2017-03-03T15:29:02.378+0100,21.16303048,42.64556948,15.82
2017-03-03T15:29:03.541+0100,21.16302858,42.64555715,14.56
2017-03-03T15:29:04.696+0100,21.16302738,42.6455457,15.18
2017-03-03T15:29:05.822+0100,21.16302399,42.64553443,15.58
2017-03-03T15:29:06.994+0100,21.16302032,42.64552279,15.9
2017-03-03T15:29:08.104+0100,21.16301445,42.64549885,15.18
2017-03-03T15:29:09.260+0100,21.16301029,42.6454862,14.41
2017-03-03T15:29:10.411+0100,21.16301029,42.6454862,14.56
2017-03-03T15:29:11.557+0100,21.16299994,42.64546714,15.11
2017-03-03T15:29:12.687+0100,21.16299506,42.6454582,14.95
2017-03-03T15:29:13.878+0100,21.16299352,42.6454519,14.56
2017-03-03T15:29:14.952+0100,21.16298371,42.64544578,14.33
2017-03-03T15:29:16.183+0100,21.16295405,42.64542281,14.1
2017-03-03T15:29:17.263+0100,21.16293806,42.64541458,13.95
2017-03-03T15:29:18.417+0100,21.16292803,42.64540661,12.82
2017-03-03T15:29:19.592+0100,21.16291757,42.64540384,12.82
2017-03-03T15:29:20.745+0100,21.16290821,42.64539708,12.08
2017-03-03T15:29:21.874+0100,21.1628978,42.64539474,12.75
2017-03-03T15:29:23.029+0100,21.16288275,42.64538305,13.27
2017-03-03T15:29:24.173+0100,21.1628768,42.64536151,13.72
2017-03-03T15:29:25.327+0100,21.16287061,42.64534678,13.65
2017-03-03T15:29:26.422+0100,21.16286905,42.6453378,14.56
2017-03-03T15:29:27.615+0100,21.16285957,42.64532569,15.03
2017-03-03T15:29:28.739+0100,21.16285181,42.64531951,14.79
2017-03-03T15:29:29.897+0100,21.16283961,42.6453088,14.95
2017-03-03T15:29:31.054+0100,21.16282032,42.64529891,14.72
2017-03-03T15:29:32.259+0100,21.16280482,42.64529453,13.95
2017-03-03T15:29:33.324+0100,21.16279216,42.64528989,13.65
2017-03-03T15:29:34.483+0100,21.16278163,42.64528722,13.95
2017-03-03T15:29:35.661+0100,21.16277023,42.64527996,14.48
2017-03-03T15:29:36.838+0100,21.16275859,42.64527225,14.79
2017-03-03T15:29:37.925+0100,21.16274312,42.64526832,13.49
2017-03-03T15:29:39.133+0100,21.16271345,42.64527669,13.42
2017-03-03T15:29:40.230+0100,21.16269551,42.64527261,13.05
2017-03-03T15:29:41.403+0100,21.16268257,42.6452721,12.67
2017-03-03T15:29:42.522+0100,21.16266735,42.64527138,13.34
2017-03-03T15:29:43.669+0100,21.16265334,42.6452746,13.27
2017-03-03T15:29:44.862+0100,21.16264056,42.6452776,13.87
2017-03-03T15:29:45.975+0100,21.16262562,42.6452782,14.56
2017-03-03T15:29:47.137+0100,21.16259362,42.64528629,13.8
2017-03-03T15:29:48.294+0100,21.16258018,42.64528782,13.19
2017-03-03T15:29:49.400+0100,21.16256611,42.64528944,13.12
2017-03-03T15:29:50.607+0100,21.1625588,42.64529687,12.97
2017-03-03T15:29:51.699+0100,21.16254228,42.64529601,12.97
2017-03-03T15:29:52.851+0100,21.16252644,42.64529765,12.38
2017-03-03T15:29:53.963+0100,21.16251116,42.645302,13.27
2017-03-03T15:29:55.137+0100,21.16248385,42.64530846,13.57
2017-03-03T15:29:56.307+0100,21.16246936,42.64530834,13.8
2017-03-03T15:29:57.422+0100,21.16246045,42.64531151,14.25
2017-03-03T15:29:58.633+0100,21.16245308,42.64531705,14.64
2017-03-03T15:29:59.736+0100,21.16244074,42.64532072,15.18
2017-03-03T15:30:00.892+0100,21.16242827,42.64532208,15.03
2017-03-03T15:30:02.048+0100,21.16240391,42.64531738,15.34
2017-03-03T15:30:03.176+0100,21.16238964,42.64531935,15.03
2017-03-03T15:30:04.342+0100,21.16238169,42.64531292,14.72
2017-03-03T15:30:05.434+0100,21.16237231,42.645322,14.48
2017-03-03T15:30:06.635+0100,21.16237474,42.64532194,13.95
2017-03-03T15:30:07.741+0100,21.16237371,42.64532136,13.57
2017-03-03T15:30:08.924+0100,21.16237804,42.64532163,14.02
2017-03-03T15:30:10.022+0100,21.16237455,42.64531908,14.41
2017-03-03T15:30:11.200+0100,21.16237272,42.64531687,14.56
2017-03-03T15:30:12.345+0100,21.16237231,42.64531711,13.72
2017-03-03T15:30:13.530+0100,21.162363,42.64531968,14.72
2017-03-03T15:30:14.646+0100,21.16236125,42.64531871,15.34
2017-03-03T15:30:15.802+0100,21.16235901,42.64532042,15.9
2017-03-03T15:30:16.956+0100,21.16236133,42.64531838,16.23
2017-03-03T15:30:18.133+0100,21.16236082,42.64532262,16.9
2017-03-03T15:30:19.228+0100,21.16236305,42.64532272,16.64
2017-03-03T15:30:20.357+0100,21.16236351,42.64532842,15.98
2017-03-03T15:30:21.520+0100,21.16236656,42.64534209,15.74
2017-03-03T15:30:22.709+0100,21.16237495,42.64532455,15.66
2017-03-03T15:30:23.838+0100,21.1623795,42.64535727,14.87
2017-03-03T15:30:24.943+0100,21.16237742,42.64535671,14.95
2017-03-03T15:30:26.149+0100,21.16235481,42.64537563,14.64
2017-03-03T15:30:27.250+0100,21.16234575,42.64537573,14.95
2017-03-03T15:30:28.465+0100,21.16234125,42.64539875,15.11
2017-03-03T15:30:29.550+0100,21.1623409,42.64539353,15.66
2017-03-03T15:30:30.682+0100,21.16234233,42.64540388,16.23
2017-03-03T15:30:31.852+0100,21.16234618,42.64541103,16.31
2017-03-03T15:30:33.004+0100,21.16235521,42.645419,15.74
2017-03-03T15:30:34.128+0100,21.16237606,42.64542751,15.9
2017-03-03T15:30:35.300+0100,21.16238793,42.64542965,15.66
2017-03-03T15:30:36.468+0100,21.16239992,42.64542647,15.82
2017-03-03T15:30:37.633+0100,21.16240953,42.64542569,15.5
2017-03-03T15:30:38.749+0100,21.16241923,42.64542423,15.74
2017-03-03T15:30:39.900+0100,21.1624289,42.64542278,15.26
2017-03-03T15:30:41.054+0100,21.1624289,42.64542278,15.03
2017-03-03T15:30:42.175+0100,21.1624289,42.64542278,14.95
2017-03-03T15:30:43.316+0100,21.1624289,42.64542278,15.26
2017-03-03T15:30:44.447+0100,21.1624289,42.64542278,15.18
2017-03-03T15:30:45.628+0100,21.1624289,42.64542278,15.34
2017-03-03T15:30:46.750+0100,21.1624289,42.64542278,14.33
2017-03-03T15:30:47.938+0100,21.1624289,42.64542278,14.64
2017-03-03T15:30:49.059+0100,21.1624289,42.64542278,15.5
2017-03-03T15:30:50.233+0100,21.1624289,42.64542278,15.66
2017-03-03T15:30:51.349+0100,21.1624289,42.64542278,15.34
2017-03-03T15:30:52.543+0100,21.1624289,42.64542278,16.15
2017-03-03T15:30:53.698+0100,21.1624289,42.64542278,15.9
2017-03-03T15:30:54.824+0100,21.1624289,42.64542278,15.9
2017-03-03T15:30:55.935+0100,21.1624289,42.64542278,15.5
2017-03-03T15:30:57.135+0100,21.1624289,42.64542278,15.42
2017-03-03T15:30:58.222+0100,21.1624289,42.64542278,15.11
2017-03-03T15:30:59.387+0100,21.1624289,42.64542278,14.87
2017-03-03T15:31:00.529+0100,21.1624289,42.64542278,14.72
2017-03-03T15:31:01.695+0100,21.1624289,42.64542278,15.9
2017-03-03T15:31:02.860+0100,21.1624289,42.64542278,15.82
2017-03-03T15:31:03.993+0100,21.1624289,42.64542278,16.56
2017-03-03T15:31:05.120+0100,21.1624289,42.64542278,16.98
2017-03-03T15:31:06.295+0100,21.1624289,42.64542278,16.48
2017-03-03T15:31:07.422+0100,21.1624289,42.64542278,16.07
2017-03-03T15:31:08.599+0100,21.1624289,42.64542278,16.48
2017-03-03T15:31:09.696+0100,21.1624289,42.64542278,16.81
2017-03-03T15:31:10.876+0100,21.1624289,42.64542278,16.39
2017-03-03T15:31:11.990+0100,21.1624289,42.64542278,16.56
2017-03-03T15:31:13.211+0100,21.1624289,42.64542278,15.98
