sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-03-03T09:20:53.678+0100,21.16463385,42.65910954,32.81
2017-03-03T09:20:54.828+0100,21.16461495,42.65911087,31.97
2017-03-03T09:20:56.005+0100,21.16459953,42.65910677,31.81
2017-03-03T09:20:57.164+0100,21.16456486,42.6590983,30.51
2017-03-03T09:20:58.329+0100,21.16454932,42.65909277,28.67
2017-03-03T09:20:59.480+0100,21.16453782,42.65908774,28.97
2017-03-03T09:21:00.651+0100,21.16452479,42.65908688,27.09
2017-03-03T09:21:01.816+0100,21.16450853,42.6590839,26.54
2017-03-03T09:21:02.971+0100,21.1644931,42.65908269,27.51
2017-03-03T09:21:04.150+0100,21.16446543,42.6590859,28.09
2017-03-03T09:21:05.296+0100,21.16444736,42.65908781,27.51
2017-03-03T09:21:06.482+0100,21.16442758,42.65907956,30.2
2017-03-03T09:21:07.653+0100,21.16441541,42.65908009,32.14
2017-03-03T09:21:08.821+0100,21.16439654,42.65907852,30.35
2017-03-03T09:21:09.999+0100,21.16437417,42.65907954,28.82
2017-03-03T09:21:11.165+0100,21.16434014,42.65907221,25.47
2017-03-03T09:21:12.326+0100,21.16431589,42.65906823,23.13
2017-03-03T09:21:13.520+0100,21.16430072,42.65906819,22.1
2017-03-03T09:21:14.645+0100,21.16428031,42.65907254,20.1
2017-03-03T09:21:15.839+0100,21.16426177,42.65906705,20.61
2017-03-03T09:21:16.991+0100,21.1642473,42.65906759,20.41
2017-03-03T09:21:18.194+0100,21.16420981,42.6590608,20.71
2017-03-03T09:21:19.323+0100,21.1641907,42.65906156,21.77
2017-03-03T09:21:20.501+0100,21.16416674,42.65905847,21.67
2017-03-03T09:21:21.629+0100,21.16414841,42.65905553,22.55
2017-03-03T09:21:22.818+0100,21.16413429,42.65905451,23.13
2017-03-03T09:21:23.984+0100,21.16411179,42.65905135,21.45
2017-03-03T09:21:25.200+0100,21.16408837,42.65904606,20.71
2017-03-03T09:21:26.364+0100,21.1640753,42.65904388,19.91
2017-03-03T09:21:27.494+0100,21.16405507,42.65904126,19.32
2017-03-03T09:21:28.675+0100,21.1640508,42.6590396,19.61
2017-03-03T09:21:29.830+0100,21.16403164,42.6590378,18.12
2017-03-03T09:21:30.995+0100,21.16401171,42.65903559,16.9
2017-03-03T09:21:32.150+0100,21.16398665,42.6590291,15.66
2017-03-03T09:21:33.290+0100,21.1639741,42.65902823,16.31
2017-03-03T09:21:34.499+0100,21.16395987,42.65902414,17.32
2017-03-03T09:21:35.660+0100,21.16394212,42.65902057,17.41
2017-03-03T09:21:36.839+0100,21.16392639,42.65901668,17.94
2017-03-03T09:21:37.971+0100,21.16391081,42.65901682,18.76
2017-03-03T09:21:39.141+0100,21.16389747,42.65901413,18.76
2017-03-03T09:21:40.290+0100,21.16386705,42.6590079,19.71
2017-03-03T09:21:41.513+0100,21.16384773,42.65900255,19.61
2017-03-03T09:21:42.648+0100,21.16382917,42.65899897,19.42
2017-03-03T09:21:43.871+0100,21.16380655,42.65899893,20.01
2017-03-03T09:21:44.955+0100,21.1637851,42.65899518,20.82
2017-03-03T09:21:46.138+0100,21.16377078,42.65899354,20.51
2017-03-03T09:21:47.319+0100,21.16373404,42.65898799,19.81
2017-03-03T09:21:48.461+0100,21.16372068,42.6589834,21.56
2017-03-03T09:21:49.639+0100,21.16370338,42.65897917,20.92
2017-03-03T09:21:50.833+0100,21.16368678,42.65897243,21.13
2017-03-03T09:21:51.985+0100,21.16366731,42.65897126,22.55
2017-03-03T09:21:53.163+0100,21.16363262,42.65896356,22.1
2017-03-03T09:21:54.299+0100,21.16361407,42.6589589,20.2
2017-03-03T09:21:55.471+0100,21.1635969,42.65895112,19.61
2017-03-03T09:21:56.656+0100,21.1635753,42.65894501,18.85
2017-03-03T09:21:57.806+0100,21.16355823,42.65893683,18.76
2017-03-03T09:21:58.981+0100,21.16354648,42.6589291,18.48
2017-03-03T09:22:00.156+0100,21.16350829,42.65892385,18.39
2017-03-03T09:22:01.310+0100,21.16349194,42.65891984,17.15
2017-03-03T09:22:02.506+0100,21.1634745,42.65891113,17.58
2017-03-03T09:22:03.685+0100,21.16345731,42.65890509,17.5
2017-03-03T09:22:04.820+0100,21.1634382,42.65889658,17.5
2017-03-03T09:22:05.974+0100,21.16341852,42.65888747,18.21
2017-03-03T09:22:07.148+0100,21.16340184,42.65887646,19.42
2017-03-03T09:22:08.355+0100,21.16337082,42.65887123,19.32
2017-03-03T09:22:09.474+0100,21.16336021,42.65886445,18.94
2017-03-03T09:22:10.634+0100,21.16334487,42.65885728,19.61
2017-03-03T09:22:11.821+0100,21.16333024,42.65884791,19.04
2017-03-03T09:22:12.959+0100,21.16331595,42.65884288,19.81
2017-03-03T09:22:14.205+0100,21.16328254,42.65883073,19.13
2017-03-03T09:22:15.291+0100,21.16327069,42.65882455,19.61
2017-03-03T09:22:16.470+0100,21.16325431,42.6588227,19.42
2017-03-03T09:22:17.625+0100,21.16324101,42.65881535,17.76
2017-03-03T09:22:18.809+0100,21.16322297,42.65880885,17.85
2017-03-03T09:22:19.949+0100,21.16320743,42.65880307,18.21
2017-03-03T09:22:21.153+0100,21.16318017,42.65878673,18.66
2017-03-03T09:22:22.333+0100,21.16316717,42.65877903,18.85
2017-03-03T09:22:23.476+0100,21.16315702,42.65877104,18.57
2017-03-03T09:22:24.620+0100,21.16314308,42.65875929,18.85
2017-03-03T09:22:25.903+0100,21.16312536,42.6587541,18.39
2017-03-03T09:22:26.976+0100,21.16310625,42.65874598,18.3
2017-03-03T09:22:28.128+0100,21.16309028,42.65873913,18.94
2017-03-03T09:22:29.269+0100,21.16306933,42.65872025,18.21
2017-03-03T09:22:30.481+0100,21.16305323,42.65871083,18.76
2017-03-03T09:22:31.643+0100,21.16304451,42.65870221,19.13
2017-03-03T09:22:32.801+0100,21.16303128,42.65869379,19.32
2017-03-03T09:22:33.994+0100,21.16301671,42.65868782,20.01
2017-03-03T09:22:35.138+0100,21.16300566,42.65867835,18.57
2017-03-03T09:22:36.259+0100,21.16297322,42.6586679,19.04
2017-03-03T09:22:37.483+0100,21.16296758,42.65865677,18.57
2017-03-03T09:22:38.624+0100,21.16295545,42.65865113,17.41
2017-03-03T09:22:39.804+0100,21.16294068,42.6586439,16.98
2017-03-03T09:22:40.973+0100,21.16292553,42.65863734,17.94
2017-03-03T09:22:42.106+0100,21.16291411,42.65862933,17.76
2017-03-03T09:22:43.285+0100,21.16288457,42.65861717,18.03
2017-03-03T09:22:44.486+0100,21.16286518,42.65860924,18.3
2017-03-03T09:22:45.653+0100,21.16284801,42.65860263,18.03
2017-03-03T09:22:46.798+0100,21.16282831,42.65859533,17.94
2017-03-03T09:22:47.983+0100,21.16281114,42.65858996,17.41
2017-03-03T09:22:49.128+0100,21.16279167,42.65858437,17.5
2017-03-03T09:22:50.299+0100,21.16275356,42.65857148,16.73
2017-03-03T09:22:51.449+0100,21.16273478,42.65856337,16.9
2017-03-03T09:22:52.619+0100,21.16271351,42.65855858,16.48
2017-03-03T09:22:53.839+0100,21.16270121,42.65855293,15.58
2017-03-03T09:22:54.960+0100,21.16268153,42.65854435,15.42
2017-03-03T09:22:56.147+0100,21.16264523,42.65853525,15.42
2017-03-03T09:22:57.286+0100,21.16262999,42.65853272,15.34
2017-03-03T09:22:58.450+0100,21.16260821,42.65852799,15.9
2017-03-03T09:22:59.623+0100,21.16258759,42.65852369,17.32
2017-03-03T09:23:00.794+0100,21.16256481,42.65851767,16.48
2017-03-03T09:23:01.976+0100,21.16254658,42.65851528,16.81
2017-03-03T09:23:03.140+0100,21.16252731,42.65850998,16.31
2017-03-03T09:23:04.284+0100,21.16248157,42.65850894,17.07
2017-03-03T09:23:05.479+0100,21.1624638,42.65850732,17.76
2017-03-03T09:23:06.615+0100,21.16244443,42.65851206,18.39
2017-03-03T09:23:07.795+0100,21.16242464,42.65851353,17.76
2017-03-03T09:23:08.959+0100,21.16240233,42.65851209,17.58
2017-03-03T09:23:10.131+0100,21.16238014,42.65851154,18.03
2017-03-03T09:23:11.286+0100,21.16234839,42.65851439,17.85
2017-03-03T09:23:12.469+0100,21.16232733,42.65851365,19.13
2017-03-03T09:23:13.669+0100,21.16230816,42.65851314,19.32
2017-03-03T09:23:14.825+0100,21.16228185,42.65851617,18.85
2017-03-03T09:23:15.947+0100,21.16226507,42.65851731,19.32
2017-03-03T09:23:17.133+0100,21.16224979,42.65851997,21.03
2017-03-03T09:23:18.262+0100,21.16221588,42.65852017,21.45
2017-03-03T09:23:19.491+0100,21.16219856,42.65851978,21.56
2017-03-03T09:23:20.596+0100,21.16218016,42.6585191,21.24
2017-03-03T09:23:21.799+0100,21.16216109,42.65851551,21.24
2017-03-03T09:23:22.930+0100,21.16213624,42.65851096,20.41
2017-03-03T09:23:24.114+0100,21.16211558,42.65850739,19.61
2017-03-03T09:23:25.264+0100,21.16207709,42.65849985,19.71
