sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-03-03T15:06:50.276+0100,21.16444564,42.65921015,25.74
2017-03-03T15:06:51.482+0100,21.16444551,42.65921315,27.94
2017-03-03T15:06:52.590+0100,21.1644436,42.65920625,28.38
2017-03-03T15:06:53.784+0100,21.16443436,42.65921869,28.82
2017-03-03T15:06:54.951+0100,21.16442709,42.65921949,28.97
2017-03-03T15:06:56.084+0100,21.16441094,42.65922655,27.94
2017-03-03T15:06:57.302+0100,21.16440745,42.65922894,26.95
2017-03-03T15:06:58.459+0100,21.16440078,42.65922801,26.4
2017-03-03T15:06:59.630+0100,21.1643922,42.65923475,25.09
2017-03-03T15:07:00.752+0100,21.16438316,42.65923736,26.13
2017-03-03T15:07:01.957+0100,21.16437497,42.65923593,27.66
2017-03-03T15:07:03.083+0100,21.16436212,42.65924013,29.43
2017-03-03T15:07:04.305+0100,21.16434868,42.65923669,33.15
2017-03-03T15:07:05.453+0100,21.16433513,42.65923571,33.5
2017-03-03T15:07:06.589+0100,21.16432068,42.65923256,34.74
2017-03-03T15:07:07.740+0100,21.16431333,42.65923416,30.04
2017-03-03T15:07:08.930+0100,21.16430495,42.65923551,29.27
2017-03-03T15:07:10.095+0100,21.16428025,42.65922606,29.89
2017-03-03T15:07:11.258+0100,21.16426899,42.65922369,30.2
2017-03-03T15:07:12.395+0100,21.16425945,42.65922559,30.83
2017-03-03T15:07:13.598+0100,21.16424771,42.65922711,32.81
2017-03-03T15:07:14.780+0100,21.16423844,42.65923084,33.15
2017-03-03T15:07:15.960+0100,21.16422679,42.6592345,31.64
2017-03-03T15:07:17.109+0100,21.16420624,42.65924018,30.99
2017-03-03T15:07:18.266+0100,21.16419594,42.65924638,30.04
2017-03-03T15:07:19.413+0100,21.16418171,42.65924544,28.53
2017-03-03T15:07:20.626+0100,21.16417124,42.65924503,28.23
2017-03-03T15:07:21.756+0100,21.16415704,42.65924591,25.6
2017-03-03T15:07:22.949+0100,21.16414101,42.65924914,26.54
2017-03-03T15:07:24.083+0100,21.16411995,42.65925544,24.83
2017-03-03T15:07:25.299+0100,21.16410679,42.65926151,24.71
2017-03-03T15:07:26.439+0100,21.16408918,42.65926482,24.21
2017-03-03T15:07:27.570+0100,21.16407551,42.65926675,24.33
2017-03-03T15:07:28.744+0100,21.16406256,42.65927152,23.96
2017-03-03T15:07:29.919+0100,21.1640463,42.6592729,22.55
2017-03-03T15:07:31.078+0100,21.16402898,42.65928062,22.22
2017-03-03T15:07:32.292+0100,21.16401496,42.65928373,21.13
2017-03-03T15:07:33.423+0100,21.16400348,42.65928679,20.92
2017-03-03T15:07:34.633+0100,21.16398424,42.65928812,20.2
2017-03-03T15:07:35.734+0100,21.16396448,42.65928866,22.33
2017-03-03T15:07:36.925+0100,21.16395155,42.65929319,21.77
2017-03-03T15:07:38.087+0100,21.16392921,42.65930092,20.51
2017-03-03T15:07:39.277+0100,21.1639148,42.65930379,20.01
2017-03-03T15:07:40.428+0100,21.16389806,42.65930942,18.94
2017-03-03T15:07:41.629+0100,21.16388766,42.65930963,19.13
2017-03-03T15:07:42.776+0100,21.16387186,42.65931473,20.1
2017-03-03T15:07:43.948+0100,21.16385322,42.65931534,19.61
2017-03-03T15:07:45.065+0100,21.16383786,42.65931541,18.66
2017-03-03T15:07:46.249+0100,21.16381128,42.65931862,18.76
2017-03-03T15:07:47.418+0100,21.16379469,42.65932084,18.21
2017-03-03T15:07:48.624+0100,21.1637804,42.65932239,17.76
2017-03-03T15:07:49.758+0100,21.16377344,42.65933058,18.39
2017-03-03T15:07:50.960+0100,21.16376634,42.65933793,17.67
2017-03-03T15:07:52.077+0100,21.16374723,42.6593388,17.15
2017-03-03T15:07:53.265+0100,21.16373838,42.6593452,17.32
2017-03-03T15:07:54.474+0100,21.16373471,42.65935498,17.32
2017-03-03T15:07:55.584+0100,21.16374471,42.65936818,16.56
2017-03-03T15:07:56.754+0100,21.16375326,42.65937913,16.39
2017-03-03T15:07:57.913+0100,21.16375513,42.65938534,16.73
2017-03-03T15:07:59.140+0100,21.16375476,42.65939153,17.5
2017-03-03T15:08:00.323+0100,21.16374975,42.65939974,18.3
2017-03-03T15:08:01.428+0100,21.16375111,42.65940162,18.66
2017-03-03T15:08:02.565+0100,21.16375611,42.65940391,18.94
2017-03-03T15:08:03.728+0100,21.16374907,42.65941239,18.66
2017-03-03T15:08:04.939+0100,21.16375295,42.65942434,18.57
2017-03-03T15:08:06.081+0100,21.16376366,42.65945774,19.91
2017-03-03T15:08:07.254+0100,21.1637604,42.65946926,20.92
2017-03-03T15:08:08.395+0100,21.16376274,42.65947853,21.56
2017-03-03T15:08:09.616+0100,21.16376154,42.65948497,20.71
2017-03-03T15:08:10.780+0100,21.16376104,42.65949712,19.51
2017-03-03T15:08:12.022+0100,21.16376051,42.65950322,19.81
2017-03-03T15:08:13.100+0100,21.16375919,42.65951239,20.51
2017-03-03T15:08:14.298+0100,21.16375965,42.659514,20.01
2017-03-03T15:08:15.400+0100,21.16375844,42.65951558,19.04
2017-03-03T15:08:16.578+0100,21.16375968,42.65951488,19.71
