sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961061B2,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2017-02-27T09:24:33.331+0100,21.16639978,42.65822282,83.39
2017-02-27T09:24:34.521+0100,21.16639978,42.65822282,86.01
2017-02-27T09:24:35.706+0100,21.16639978,42.65822282,93.4
2017-02-27T09:24:36.839+0100,21.16639978,42.65822282,95.48
2017-02-27T09:24:38.016+0100,21.16639978,42.65822282,97.23
2017-02-27T09:24:39.171+0100,21.16639978,42.65822282,96.88
2017-02-27T09:24:40.371+0100,21.16639978,42.65822282,93.4
2017-02-27T09:24:41.558+0100,21.16639978,42.65822282,94.78
2017-02-27T09:24:42.624+0100,21.16639978,42.65822282,96.17
2017-02-27T09:24:43.825+0100,21.16639978,42.65822282,96.88
2017-02-27T09:24:45.006+0100,21.16639978,42.65822282,97.58
2017-02-27T09:24:46.181+0100,21.16639978,42.65822282,95.83
2017-02-27T09:24:47.404+0100,21.16639978,42.65822282,94.78
2017-02-27T09:24:48.516+0100,21.16639978,42.65822282,99.7
2017-02-27T09:24:49.649+0100,21.16639978,42.65822282,96.88
2017-02-27T09:24:50.847+0100,21.16639978,42.65822282,86.01
2017-02-27T09:24:51.990+0100,21.16644505,42.65823383,78.6
2017-02-27T09:24:53.172+0100,21.16644539,42.65824782,83.39
2017-02-27T09:24:54.331+0100,21.16646956,42.65826108,89.0
2017-02-27T09:24:55.509+0100,21.16647098,42.65826073,96.17
2017-02-27T09:24:56.659+0100,21.16648507,42.6582587,92.72
2017-02-27T09:24:57.831+0100,21.16648914,42.65825534,92.38
2017-02-27T09:24:58.964+0100,21.16648694,42.65825583,99.35
2017-02-27T09:25:00.161+0100,21.16647501,42.65824959,100.42
2017-02-27T09:25:01.278+0100,21.16647473,42.65824625,94.09
2017-02-27T09:25:02.519+0100,21.16646965,42.65824372,88.33
2017-02-27T09:25:03.689+0100,21.16646495,42.65824233,89.0
2017-02-27T09:25:04.844+0100,21.16646398,42.65824208,89.0
2017-02-27T09:25:05.997+0100,21.16646385,42.65824202,88.33
2017-02-27T09:25:07.162+0100,21.16646379,42.65824199,87.99
2017-02-27T09:25:08.336+0100,21.16646378,42.65824199,87.0
2017-02-27T09:25:09.502+0100,21.16646351,42.65824193,92.38
2017-02-27T09:25:10.704+0100,21.16646329,42.65824187,92.38
2017-02-27T09:25:11.872+0100,21.16646311,42.65824176,97.58
2017-02-27T09:25:12.976+0100,21.16646304,42.65824175,95.13
2017-02-27T09:25:14.165+0100,21.16646291,42.65824173,95.48
2017-02-27T09:25:15.322+0100,21.16646274,42.65824167,86.67
2017-02-27T09:25:16.491+0100,21.16646253,42.65824158,88.66
2017-02-27T09:25:17.645+0100,21.16646256,42.65824157,87.99
2017-02-27T09:25:18.860+0100,21.16646253,42.65824155,90.68
2017-02-27T09:25:19.978+0100,21.16646241,42.65824153,93.06
2017-02-27T09:25:21.166+0100,21.16646226,42.6582415,95.83
2017-02-27T09:25:22.304+0100,21.16646217,42.65824145,97.23
2017-02-27T09:25:23.505+0100,21.16645942,42.65823863,97.23
2017-02-27T09:25:24.676+0100,21.16645521,42.65823496,96.88
2017-02-27T09:25:25.836+0100,21.1664469,42.65823233,95.13
2017-02-27T09:25:27.025+0100,21.16643004,42.65823152,98.64
2017-02-27T09:25:28.178+0100,21.16642538,42.65823538,98.64
2017-02-27T09:25:29.364+0100,21.16642069,42.65823024,97.93
2017-02-27T09:25:30.530+0100,21.16641703,42.65822492,90.34
2017-02-27T09:25:31.625+0100,21.16641623,42.65822229,89.67
2017-02-27T09:25:32.876+0100,21.16639797,42.6582253,84.37
2017-02-27T09:25:34.026+0100,21.16638392,42.65822987,89.33
2017-02-27T09:25:35.159+0100,21.16637627,42.6582338,89.0
2017-02-27T09:25:36.374+0100,21.16638454,42.65825009,86.34
2017-02-27T09:25:37.519+0100,21.16637438,42.65825386,82.1
2017-02-27T09:25:38.656+0100,21.16636339,42.65825631,75.48
2017-02-27T09:25:39.826+0100,21.16633842,42.65826036,73.34
2017-02-27T09:25:41.000+0100,21.16632837,42.6582577,65.65
2017-02-27T09:25:42.212+0100,21.16631124,42.65825812,61.69
2017-02-27T09:25:43.317+0100,21.16630149,42.65825845,63.65
2017-02-27T09:25:44.482+0100,21.16628692,42.65825988,59.23
2017-02-27T09:25:45.652+0100,21.16627409,42.65826271,53.2
2017-02-27T09:25:46.832+0100,21.16625218,42.65826433,52.69
2017-02-27T09:25:48.003+0100,21.16623823,42.65826609,48.54
2017-02-27T09:25:49.181+0100,21.16622816,42.65826426,41.79
2017-02-27T09:25:50.325+0100,21.16621405,42.65826473,44.62
2017-02-27T09:25:51.505+0100,21.16620434,42.65826619,47.59
2017-02-27T09:25:52.656+0100,21.16619386,42.65827023,52.69
2017-02-27T09:25:53.787+0100,21.16616618,42.65827292,55.77
2017-02-27T09:25:54.966+0100,21.16615315,42.65827613,58.96
2017-02-27T09:25:56.146+0100,21.16613965,42.65827804,59.5
2017-02-27T09:25:57.309+0100,21.16612909,42.65828114,66.8
2017-02-27T09:25:58.479+0100,21.16611465,42.65828174,71.52
2017-02-27T09:25:59.686+0100,21.16610298,42.65828407,74.56
